Question,Choice1,Choice2,Choice3,Choice4,Topic,Level
ฟังก์ชันใน Python สามารถทำอะไรได้บ้าง?,"('คำนวณผลลัพธ์', 0.5)","('จัดการข้อมูล', 0.5)","('แสดงผลลัพธ์', 0)","('ทั้งหมดข้างต้น', 1)",Functions,['Medium']
ฟังก์ชันใน Python สามารถรับค่าอะไรได้บ้าง?,"('ค่าจำนวนเต็ม', 0.25)","('ค่าเลขทศนิยม', 0.25)","('ค่าข้อความ', 0.25)","('ทั้งหมดข้างต้น', 1)",Functions,['Easy']
ฟังก์ชันใน Python สามารถทำอะไรได้บ้าง?,"('คำนวณผลลัพธ์', 0.5)","('จัดการข้อมูล', 0.5)","('แสดงผลลัพธ์', 0)","('ทั้งหมดข้างต้น', 1)",Functions,['Medium']
ฟังก์ชันใน Python สามารถคืนค่าได้กี่ค่า?,"('1 ค่า', 0.5)","('ไม่จำกัด', 0.5)","('2 ค่า', 0)","('3 ค่า', 0)",Functions,['Medium']
การสร้าง list comprehension ในภาษา Python สามารถทำได้โดยการใช้สัญลักษณ์อะไร?,"('[]', 0.25)","('{}', 0.25)","('()', 0)","('[ ]', 1)",ListsandListComprehensions,Easy
ถ้าเรามี list ที่ชื่อ fruits และต้องการสร้าง list ใหม่ที่มีชื่อว่า new_fruits โดยใช้เฉพาะผลไม้ที่มีขนาดมากกว่า 5 ตัวอักษร จะสามารถทำได้ด้วยคำสั่งอะไร?,"('new_fruits = [fruit for fruit in fruits if len(fruit) > 5]', 1)","('new_fruits = [fruit for fruit in fruits if len(fruit) < 5]', 0)","('new_fruits = fruits[:5]', 0)","('new_fruits = fruits[5:]', 0)",ListsandListComprehensions,Medium
การทำงานของ list comprehension คืออะไร?,"('การสร้าง list ใหม่จาก list เดิม', 1)","('การลบข้อมูลใน list', 0)","('การค้นหาข้อมูลใน list', 0)","('การเรียงลำดับข้อมูลใน list', 0)",ListsandListComprehensions,Easy
ถ้าเรามี list ที่ชื่อ numbers และต้องการสร้าง list ใหม่ที่มีชื่อว่า even_numbers โดยใช้เฉพาะตัวเลขที่เป็นเลขคู่ จะสามารถทำได้ด้วยคำสั่งอะไร?,"('even_numbers = [num for num in numbers if num % 2 == 0]', 1)","('even_numbers = [num for num in numbers if num % 2!= 0]', 0)","('even_numbers = numbers[:len(numbers)//2]', 0)","('even_numbers = numbers[len(numbers)//2:]', 0)",ListsandListComprehensions,Medium
ความสามารถของ list comprehension คืออะไร?,"('สามารถสร้าง list ใหม่จาก list เดิม', 1)","('สามารถลบข้อมูลใน list', 0)","('สามารถค้นหาข้อมูลใน list', 0)","('ไม่สามารถทำอะไรได้', 0)",ListsandListComprehensions,Easy
ถ้าเรามี list ที่ชื่อ words และต้องการสร้าง list ใหม่ที่มีชื่อว่า reversed_words โดยใช้คำที่ถูกกลับหลัง จะสามารถทำได้ด้วยคำสั่งอะไร?,"('reversed_words = [word[::-1] for word in words]', 1)","('reversed_words = [word[1:] for word in words]', 0)","('reversed_words = words[:len(words)//2]', 0)","('reversed_words = words[len(words)//2:]', 0)",ListsandListComprehensions,Medium
การสร้าง list comprehension ที่มีเงื่อนไขหลายๆ อย่างสามารถทำได้โดยการใช้สัญลักษณ์อะไร?,"('if', 0.5)","('elif', 0)","('else', 0)","('and', 0.5)",ListsandListComprehensions,Medium
ถ้าเรามี list ที่ชื่อ students และต้องการสร้าง list ใหม่ที่มีชื่อว่า passing_students โดยใช้นักเรียนที่ได้คะแนนมากกว่าหรือเท่ากับ 60 จะสามารถทำได้ด้วยคำสั่งอะไร?,"(""passing_students = [student for student in students if student['grade'] >= 60]"", 1)","(""passing_students = [student for student in students if student['grade'] <= 60]"", 0)","('passing_students = students[:len(students)//2]', 0)","('passing_students = students[len(students)//2:]', 0)",ListsandListComprehensions,Medium
การสร้าง list comprehension ที่มีการทำงานหลายๆ ขั้นตอนสามารถทำได้โดยการใช้สัญลักษณ์อะไร?,"('for', 0.5)","('while', 0)","('if', 0.5)","('and', 0)",ListsandListComprehensions,Hard
ถ้าเรามี list ที่ชื่อ products และต้องการสร้าง list ใหม่ที่มีชื่อว่า discounted_products โดยใช้เฉพาะสินค้าที่มีส่วนลดมากกว่าหรือเท่ากับ 10% จะสามารถทำได้ด้วยคำสั่งอะไร?,"(""discounted_products = [product for product in products if product['discount'] >= 0.1]"", 1)","(""discounted_products = [product for product in products if product['discount'] <= 0.1]"", 0)","('discounted_products = products[:len(products)//2]', 0)","('discounted_products = products[len(products)//2:]', 0)",ListsandListComprehensions,Hard
คุณสามารถแก้ไขค่าใน Tuple ได้หรือไม่?,"('ไม่สามารถ', 1)","('สามารถ', 0)","('ขึ้นอยู่กับสถานการณ์', 0.5)","('ไม่แน่ใจ', 0)",Tuples,['Easy']
วิธีการเข้าถึงสมาชิกของ Tuple คืออะไร?,"('ใช้วิธีการ Slice', 0.25)","('ใช้วิธีการ Indexing', 1)","('ใช้วิธีการ Loop', 0.5)","('ใช้วิธีการ Random', 0)",Tuples,['Easy']
คำสั่งไหนที่ใช้ในการสร้าง Tuple?,"('tuple()', 0.25)","('list()', 0)","('()', 0.5)","('None of the above', 1)",Tuples,['Easy']
Tuple สามารถใช้งานร่วมกับฟังก์ชันใดได้บ้าง?,"('len()', 1)","('sorted()', 0.5)","('reverse()', 0.25)","('all of the above', 0)",Tuples,['Medium']
การลบสมาชิกใน Tuple ทำได้หรือไม่?,"('ทำได้', 0)","('ไม่สามารถ', 1)","('ขึ้นอยู่กับสถานการณ์', 0.5)","('ไม่แน่ใจ', 0)",Tuples,['Medium']
การปรับปรุงสมาชิกใน Tuple ทำได้หรือไม่?,"('ทำได้', 0)","('ไม่สามารถ', 1)","('ขึ้นอยู่กับสถานการณ์', 0.5)","('ไม่แน่ใจ', 0)",Tuples,['Medium']
การสร้าง Tuple จาก List ทำได้หรือไม่?,"('ไม่สามารถ', 0)","('ทำได้', 1)","('ขึ้นอยู่กับสถานการณ์', 0.5)","('ไม่แน่ใจ', 0)",Tuples,['Hard']
การแปลง Tuple เป็น String ทำได้หรือไม่?,"('ไม่สามารถ', 0)","('ทำได้', 1)","('ขึ้นอยู่กับสถานการณ์', 0.5)","('ไม่แน่ใจ', 0)",Tuples,['Hard']
การตรวจสอบสมาชิกใน Tuple ทำได้หรือไม่?,"('ไม่สามารถ', 0)","('ทำได้', 1)","('ขึ้นอยู่กับสถานการณ์', 0.5)","('ไม่แน่ใจ', 0)",Tuples,['Hard']
การรวม Tuple เข้าด้วยกันทำได้หรือไม่?,"('ไม่สามารถ', 0)","('ทำได้', 1)","('ขึ้นอยู่กับสถานการณ์', 0.5)","('ไม่แน่ใจ', 0)",Tuples,['Hard']
คำสั่งใดใน Python ที่ใช้เพื่อสร้าง Dictionary?,"('dict()', 0.75)","('list()', 0)","('tuple()', 0)","('set()', 0)",Dictionaries,['Easy']
วิธีการเข้าถึงค่าใน Dictionary คือ?,"('ผ่าน key', 1)","('ผ่าน index', 0)","('ผ่าน value', 0)","('ไม่สามารถเข้าถึงได้', 0)",Dictionaries,['Easy']
การลบ key และ value ออกจาก Dictionary ใช้คำสั่งใด?,"('del()', 0.75)","('pop()', 0.25)","('remove()', 0)","('delete()', 0)",Dictionaries,['Medium']
วิธีการตรวจสอบว่า key มีอยู่ใน Dictionary หรือไม่ คือ?,"('if key in dict:', 1)","('if key == dict:', 0)","('if key not in dict:', 0)","('if key!= dict:', 0)",Dictionaries,['Medium']
การเพิ่มค่าใหม่ลงใน Dictionary ใช้วิธีการใด?,"('dict[key] = value', 1)","('dict.add(key, value)', 0)","('dict.append(key, value)', 0)","('dict.insert(key, value)', 0)",Dictionaries,['Easy']
วิธีการคัดลอก Dictionary คือ?,"('dict.copy()', 0.75)","('dict.clone()', 0)","('dict dup()', 0)","('dict = old_dict', 0.25)",Dictionaries,['Medium']
การเรียงลำดับ key ใน Dictionary ใช้คำสั่งใด?,"('sorted(dict.keys())', 1)","('dict.sort()', 0)","('dict.order()', 0)","('dictArrange()', 0)",Dictionaries,['Hard']
การรวม Dictionary สองอันเข้าด้วยกันใช้วิธีการใด?,"('dict.update(other_dict)', 0.75)","('dict + other_dict', 0)","('dict.merge(other_dict)', 0)","('dict.join(other_dict)', 0)",Dictionaries,['Medium']
การค้นหาค่าที่มากที่สุดใน Dictionary ใช้วิธีการใด?,"('max(dict.values())', 1)","('dict.max()', 0)","('dict.maximum()', 0)","('dicthighest()', 0)",Dictionaries,['Hard']
การค้นหาค่าที่น้อยที่สุดใน Dictionary ใช้วิธีการใด?,"('min(dict.values())', 1)","('dict.min()', 0)","('dict.minimum()', 0)","('dictlowest()', 0)",Dictionaries,['Hard']
เซตในภาษาไพธอนสามารถสร้างได้โดยการใช้สัญลักษณ์อะไร?,"('{}', 1)","('()', 0)","('[]', 0)","('.set', 0)",Sets,Easy
การสร้างเซตในภาษาไพธอนสามารถทำได้โดยใช้วิธีการใด?,"('set() function', 1)","('list comprehension', 0.5)","('dictionary', 0)","('tuple', 0)",Sets,Medium
เซตในภาษาไพธอนมีลักษณะเด่นอย่างไร?,"('ไม่สามารถมีสมาชิกซ้ำกันได้', 1)","('สามารถมีสมาชิกซ้ำกันได้', 0)","('เป็นลำดับ', 0)","('สามารถแก้ไขได้', 0)",Sets,Easy
เราสามารถเพิ่มสมาชิกใหม่เข้าไปในเซตในภาษาไพธอนได้โดยใช้เมธอดอะไร?,"('add()', 1)","('append()', 0)","('insert()', 0)","('update()', 0.5)",Sets,Medium
เซตในภาษาไพธอนสามารถทำการรวมเซต (Union) ได้โดยใช้เครื่องหมายอะไร?,"('|', 1)","('&', 0.5)","('+', 0)","('*', 0)",Sets,Medium
เซตในภาษาไพธอนสามารถทำการหักล้างเซต (Difference) ได้โดยใช้เครื่องหมายอะไร?,"('-', 1)","('+', 0)","('*', 0)","('/', 0)",Sets,Medium
เซตในภาษาไพธอนสามารถทำการหาข้อมูลที่เหมือนกันระหว่างสองเซต (Intersection) ได้โดยใช้เครื่องหมายอะไร?,"('&', 1)","('|', 0.5)","('+', 0)","('*', 0)",Sets,Medium
เซตในภาษาไพธอนสามารถทำการตรวจสอบว่าสมาชิกหนึ่งอยู่ในเซตหรือไม่ได้โดยใช้เมธอดอะไร?,"('in', 1)","('not in', 0.5)","('contains()', 0)","('include()', 0)",Sets,Easy
เซตในภาษาไพธอนสามารถทำการลบสมาชิกออกจากเซตได้โดยใช้เมธอดอะไร?,"('remove()', 1)","('discard()', 0.5)","('delete()', 0)","('pop()', 0)",Sets,Medium
เซตในภาษาไพธอนสามารถทำการคัดลอกเซตได้โดยใช้เมธอดอะไร?,"('copy()', 1)","('clone()', 0.5)","('duplicate()', 0)","('replicate()', 0)",Sets,Medium
โค้ด Python ด้านล่างนี้จะพิมพ์อะไรออกมา,"('Hello, World!', 1)","('Python is fun!', 0)","('Error', 0)","('Nothing', 0)",InputandOutput,Easy
เมื่อเราพิมพ์คำสั่ง print('Hello') ใน Python จะเกิดอะไรขึ้น?,"(""พิมพ์ 'Hello' ออกมา"", 1)","('ไม่มีอะไรเกิดขึ้น', 0)","('Error', 0)","(""พิมพ์ 'hello' ออกมา"", 0)",InputandOutput,Easy
การเขียน print() ใน Python ใช้สำหรับอะไร?,"('พิมพ์ข้อความหรือข้อมูลออกมา', 1)","('รับค่าข้อมูลจากผู้ใช้', 0)","('ทำการคำนวณ', 0)","('จัดเก็บข้อมูล', 0)",InputandOutput,Easy
"โค้ด Python ด้านล่างนี้จะพิมพ์อะไรออกมา
name = 'John'
print('Hello,'+ name)","('Hello, John', 1)","('Error', 0)","('Hello, ', 0)","('John', 0)",InputandOutput,Medium
ใน Python เราสามารถพิมพ์ข้อความหลายบรรทัดได้โดยใช้คำสั่งใด?,"('print()', 0.75)","('input()', 0)","(""print('''text''')"", 0.25)","('print(""""""text"""""")', 1)",InputandOutput,Medium
"โค้ด Python ด้านล่างนี้จะพิมพ์อะไรออกมา
x = 5
y = 3
print(x + y)","('8', 1)","('Error', 0)","('5', 0)","('3', 0)",InputandOutput,Medium
การทำงานของคำสั่ง input() ใน Python คืออะไร?,"('รับค่าข้อมูลจากผู้ใช้', 1)","('พิมพ์ข้อความออกมา', 0)","('ทำการคำนวณ', 0)","('จัดเก็บข้อมูล', 0)",InputandOutput,Medium
"โค้ด Python ด้านล่างนี้จะพิมพ์อะไรออกมา
name = input('What is your name? ')
print(name)","('What is your name? ', 0)","('Name not defined', 0)","(""User's input"", 1)","('Error', 0)",InputandOutput,Hard
การทำงานของคำสั่ง int(input()) ใน Python คืออะไร?,"('รับค่าข้อมูลเป็นตัวเลขจากผู้ใช้', 1)","('พิมพ์ข้อความออกมา', 0)","('ทำการคำนวณ', 0)","('จัดเก็บข้อมูล', 0)",InputandOutput,Hard
"โค้ด Python ด้านล่างนี้จะพิมพ์อะไรออกมา
num = int(input('Enter a number: '))
print(num + 5)","(""User's input + 5"", 1)","('Error', 0)","('5', 0)","(""User's input"", 0)",InputandOutput,Hard
การทำ Error Handling ใน Python สามารถทำได้โดยการใช้คำสั่งใด?,"('try...except', 1)","('if...else', 0)","('while...break', 0)","('for...in', 0)",ErrorHandling,Easy
เมื่อใช้คำสั่ง try...except ใน Python แล้วมีข้อผิดพลาดเกิดขึ้น คำสั่งที่จะถูกเรียกใช้คือ?,"('except', 1)","('finally', 0.5)","('else', 0)","('raise', 0)",ErrorHandling,Medium
ในกรณีที่ต้องการจับข้อผิดพลาดที่เฉพาะเจาะจงใน Python ควรใช้คำสั่งใด?,"('except Exception:', 0.5)","('except ZeroDivisionError:', 1)","('except TypeError:', 0)","('except ValueError:', 0)",ErrorHandling,Medium
คำสั่ง finally ใน Python ใช้เพื่ออะไร?,"('จัดการกับข้อผิดพลาด', 0.5)","('ทำความสะอาดทรัพยากร', 1)","('เรียกใช้งานฟังก์ชัน', 0)","('วนลูป', 0)",ErrorHandling,Medium
ในการทำ Error Handling ใน Python ควรใช้คำสั่ง try...except อย่างไร?,"('โดยไม่ระบุชนิดของข้อผิดพลาด', 0)","('โดยระบุชนิดของข้อผิดพลาด', 1)","('โดยไม่มีคำสั่ง else', 0.5)","('โดยไม่มีคำสั่ง finally', 0)",ErrorHandling,Hard
คำสั่ง raise ใน Python ใช้เพื่ออะไร?,"('สร้างข้อผิดพลาด', 1)","('จัดการกับข้อผิดพลาด', 0)","('ทำความสะอาดทรัพยากร', 0)","('วนลูป', 0)",ErrorHandling,Medium
ในกรณีที่ต้องการจัดการกับข้อผิดพลาดที่ไม่คาดคิด Python มีคำสั่งใดที่สามารถใช้ได้?,"('except Exception:', 1)","('except ZeroDivisionError:', 0)","('except TypeError:', 0)","('except ValueError:', 0)",ErrorHandling,Hard
คำสั่ง assert ใน Python ใช้เพื่ออะไร?,"('ตรวจสอบเงื่อนไข', 1)","('จัดการกับข้อผิดพลาด', 0)","('ทำความสะอาดทรัพยากร', 0)","('วนลูป', 0)",ErrorHandling,Medium
ในการทำ Error Handling ใน Python ควรใช้คำสั่ง try...except อย่างไร?,"('โดยไม่ระบุชนิดของข้อผิดพลาด', 0)","('โดยระบุชนิดของข้อผิดพลาด', 1)","('โดยไม่มีคำสั่ง else', 0.5)","('โดยไม่มีคำสั่ง finally', 0)",ErrorHandling,Hard
คำสั่ง else ใน Python ใช้เพื่ออะไร?,"('จัดการกับข้อผิดพลาด', 0)","('ทำความสะอาดทรัพยากร', 0)","('วนลูป', 0)","('ประมวลผลเมื่อไม่มีข้อผิดพลาด', 1)",ErrorHandling,Medium
