Question,Choice1,Choice2,Choice3,Choice4,Topic,Level
"ในภาษา Python, คำสั่ง if ใช้สำหรับอะไร?","('การวนซ้ำ', 0)","('การตัดสินใจ', 0.75)","('การทำงานร่วมกัน', 0)","('การจัดการข้อมูล', 0)",Control Flow,Easy
"ในภาษา Python, คำสั่ง elif ใช้สำหรับอะไร?","('การตัดสินใจหลายครั้ง', 0.5)","('การวนซ้ำ', 0)","('การทำงานร่วมกัน', 0)","('การจัดการข้อมูล', 0)",Control Flow,Medium
"ในภาษา Python, คำสั่ง for ใช้สำหรับอะไร?","('การวนซ้ำ', 0.75)","('การตัดสินใจ', 0)","('การทำงานร่วมกัน', 0)","('การจัดการข้อมูล', 0)",Control Flow,Easy
"ในภาษา Python, คำสั่ง while ใช้สำหรับอะไร?","('การวนซ้ำ', 0.75)","('การตัดสินใจ', 0)","('การทำงานร่วมกัน', 0)","('การจัดการข้อมูล', 0)",Control Flow,Medium
"ในภาษา Python, คำสั่ง break ใช้สำหรับอะไร?","('การหยุดการวนซ้ำ', 0.75)","('การเริ่มต้นใหม่', 0)","('การทำงานร่วมกัน', 0)","('การจัดการข้อมูล', 0)",Control Flow,Medium
"ในภาษา Python, คำสั่ง continue ใช้สำหรับอะไร?","('การวนซ้ำต่อไป', 0.75)","('การหยุดการวนซ้ำ', 0)","('การทำงานร่วมกัน', 0)","('การจัดการข้อมูล', 0)",Control Flow,Medium
"ในภาษา Python, คำสั่ง pass ใช้สำหรับอะไร?","('การทำอะไรไม่ได้', 0.75)","('การทำงานร่วมกัน', 0)","('การจัดการข้อมูล', 0)","('การวนซ้ำ', 0)",Control Flow,Easy
"ในภาษา Python, คำสั่ง try-except ใช้สำหรับอะไร?","('การจัดการข้อผิดพลาด', 0.75)","('การทำงานร่วมกัน', 0)","('การวนซ้ำ', 0)","('การจัดการข้อมูล', 0)",Control Flow,Hard
"ในภาษา Python, คำสั่ง raise ใช้สำหรับอะไร?","('การสร้างข้อผิดพลาด', 0.75)","('การทำงานร่วมกัน', 0)","('การวนซ้ำ', 0)","('การจัดการข้อมูล', 0)",Control Flow,Hard
"ในภาษา Python, คำสั่ง assert ใช้สำหรับอะไร?","('การตรวจสอบเงื่อนไข', 0.75)","('การทำงานร่วมกัน', 0)","('การวนซ้ำ', 0)","('การจัดการข้อมูล', 0)",Control Flow,Hard
การวนซ้ำในภาษา Python สามารถทำได้โดยใช้คำสั่งใดบ้าง?,"('for', 0.75)","('while', 0.25)","('if', 0)","('def', 0)",Loops,['Easy']
คำสั่ง for ในภาษา Python ใช้สำหรับการวนซ้ำแบบใด?,"('การวนซ้ำที่มีการนับจำนวนรอบที่แน่นอน', 0.75)","('การวนซ้ำที่ไม่มีการนับจำนวนรอบ', 0.25)","('การวนซ้ำที่มีการกระโดดข้าม', 0)","('การวนซ้ำที่มีการวนซ้ำไปเรื่อยๆ', 0)",Loops,['Easy']
คำสั่ง while ในภาษา Python ใช้สำหรับการวนซ้ำแบบใด?,"('การวนซ้ำที่มีการนับจำนวนรอบที่แน่นอน', 0)","('การวนซ้ำที่ไม่มีการนับจำนวนรอบ', 0.75)","('การวนซ้ำที่มีการกระโดดข้าม', 0)","('การวนซ้ำที่มีการวนซ้ำไปเรื่อยๆ', 0.25)",Loops,['Medium']
ในการใช้คำสั่ง for ในภาษา Python เราสามารถใช้ค่าใดเป็นค่าเริ่มต้น?,"('ตัวเลข', 0.25)","('ตัวอักษร', 0)","('รายการ', 0.75)","('ฟังก์ชัน', 0)",Loops,['Medium']
ในการใช้คำสั่ง while ในภาษา Python เราต้องระบุค่าอะไรในวงเล็บ?,"('เงื่อนไข', 0.75)","('ตัวเลข', 0)","('ตัวอักษร', 0)","('รายการ', 0.25)",Loops,['Medium']
การวนซ้ำในภาษา Python สามารถทำได้โดยใช้คำสั่งใดบ้าง (ยกเว้น for และ while)?,"('do-while', 0.25)","('repeat', 0)","('recur', 0.75)","('loop', 0)",Loops,['Hard']
คำสั่ง break ในภาษา Python ใช้สำหรับอะไร?,"('การหยุดการวนซ้ำทันที', 0.75)","('การกระโดดข้ามการวนซ้ำ', 0)","('การวนซ้ำไปเรื่อยๆ', 0)","('การวนซ้ำที่มีการนับจำนวนรอบ', 0.25)",Loops,['Medium']
คำสั่ง continue ในภาษา Python ใช้สำหรับอะไร?,"('การวนซ้ำไปเรื่อยๆ', 0)","('การกระโดดข้ามการวนซ้ำ', 0.75)","('การหยุดการวนซ้ำทันที', 0)","('การวนซ้ำที่มีการนับจำนวนรอบ', 0.25)",Loops,['Medium']
คำสั่ง pass ในภาษา Python ใช้สำหรับอะไร?,"('การทำอะไรไม่ใดๆ', 0.75)","('การวนซ้ำไปเรื่อยๆ', 0)","('การกระโดดข้ามการวนซ้ำ', 0)","('การหยุดการวนซ้ำทันที', 0.25)",Loops,['Easy']
คำสั่ง range() ในภาษา Python ใช้สำหรับอะไร?,"('การสร้างรายการของตัวเลข', 0.75)","('การสร้างรายการของตัวอักษร', 0)","('การสร้างฟังก์ชัน', 0)","('การสร้างเงื่อนไข', 0.25)",Loops,['Medium']
ฟังก์ชันในภาษา Python สามารถรับค่าอะไรได้บ้าง?,"('ค่าที่กำหนด', 0.75)","('ค่าที่ไม่กำหนด', 0)","('ค่าที่เป็นตัวเลข', 0.25)","('ค่าที่เป็นตัวอักษร', 0.5)",Functions,Easy
คำสั่งไหนที่ใช้ในการเรียกใช้งานฟังก์ชันใน Python?,"('print()', 0)","('call()', 0)","('function()', 0)","('()', 0.75)",Functions,Easy
ฟังก์ชันใน Python สามารถคืนค่าได้กี่ค่า?,"('1 ค่า', 0.75)","('หลายค่า', 0)","('ไม่สามารถคืนค่าได้', 0)","('ขึ้นอยู่กับฟังก์ชัน', 0.25)",Functions,Medium
การสร้างฟังก์ชันใน Python ใช้คำสั่งอะไร?,"('def', 0.75)","('function', 0)","('create', 0)","('make', 0.25)",Functions,Easy
ฟังก์ชันใน Python สามารถเรียกใช้งานตัวเองได้หรือไม่?,"('สามารถ', 0.75)","('ไม่สามารถ', 0)","('ขึ้นอยู่กับฟังก์ชัน', 0.25)","('ไม่แน่ใจ', 0)",Functions,Medium
ฟังก์ชันใน Python สามารถรับค่าอะไรได้บ้าง?,"('ค่าที่กำหนด', 0.75)","('ค่าที่ไม่กำหนด', 0)","('ค่าที่เป็นตัวเลข', 0.25)","('ค่าที่เป็นตัวอักษร', 0.5)",Functions,Easy
ฟังก์ชันใน Python สามารถคืนค่าได้กี่ค่า?,"('1 ค่า', 0.75)","('หลายค่า', 0)","('ไม่สามารถคืนค่าได้', 0)","('ขึ้นอยู่กับฟังก์ชัน', 0.25)",Functions,Medium
การสร้างฟังก์ชันใน Python ใช้คำสั่งอะไร?,"('def', 0.75)","('function', 0)","('create', 0)","('make', 0.25)",Functions,Easy
ฟังก์ชันใน Python สามารถเรียกใช้งานตัวเองได้หรือไม่?,"('สามารถ', 0.75)","('ไม่สามารถ', 0)","('ขึ้นอยู่กับฟังก์ชัน', 0.25)","('ไม่แน่ใจ', 0)",Functions,Medium
ฟังก์ชันใน Python สามารถรับค่าอะไรได้บ้าง?,"('ค่าที่กำหนด', 0.75)","('ค่าที่ไม่กำหนด', 0)","('ค่าที่เป็นตัวเลข', 0.25)","('ค่าที่เป็นตัวอักษร', 0.5)",Functions,Easy
การสร้าง list comprehension ในภาษา Python สามารถทำได้โดยการใช้สัญลักษณ์อะไร?,"('[]', 0.75)","('{}', 0)","('()', 0)","(':', 0.25)",Lists and List Comprehensions,Easy
"ถ้าเรามี list ที่ชื่อว่า my_list = [1, 2, 3, 4, 5] และเราต้องการสร้าง list ใหม่ที่มีค่าเป็นเลขคู่จาก list เดิม เราสามารถใช้ list comprehension ดังนี้:","('[x for x in my_list if x % 2 == 0]', 0.75)","('[x for x in my_list if x % 2!= 0]', 0)","('[x*2 for x in my_list]', 0)","('[x+2 for x in my_list]', 0.25)",Lists and List Comprehensions,Medium
ในการทำงานกับ list ในภาษา Python เราสามารถใช้วิธีการใดในการเพิ่มข้อมูลเข้าไปใน list?,"('append', 0.75)","('insert', 0.25)","('extend', 0)","('remove', 0)",Lists and List Comprehensions,Easy
"ถ้าเรามี list ที่ชื่อว่า fruits = ['apple', 'banana', 'cherry'] และเราต้องการหาความยาวของ list นี้ เราสามารถใช้ฟังก์ชันใด?","('len()', 0.75)","('size()', 0)","('length()', 0)","('count()', 0.25)",Lists and List Comprehensions,Easy
ในการทำงานกับ list comprehension เราสามารถใช้เงื่อนไขใดในการกรองข้อมูล?,"('if', 0.75)","('else', 0)","('for', 0.25)","('while', 0)",Lists and List Comprehensions,Medium
"ถ้าเรามี list ที่ชื่อว่า numbers = [1, 2, 3, 4, 5] และเราต้องการหาจำนวนรวมของข้อมูลใน list นี้ เราสามารถใช้วิธีการใด?","('sum(numbers)', 0.75)","('total(numbers)', 0)","('add(numbers)', 0)","('multiply(numbers)', 0.25)",Lists and List Comprehensions,Medium
ในการทำงานกับ list comprehension เราสามารถใช้วิธีการใดในการสลับตำแหน่งของข้อมูลใน list?,"('reverse()', 0.75)","('invert()', 0)","('flip()', 0)","('swap()', 0.25)",Lists and List Comprehensions,Medium
"ถ้าเรามี list ที่ชื่อว่า mixed = [1, 'a', 2, 'b', 3, 'c'] และเราต้องการแยกข้อมูลเป็น list ของตัวเลขและ list ของตัวอักษร เราสามารถใช้ list comprehension ดังนี้:","('nums = [x for x in mixed if type(x) == int], chars = [x for x in mixed if type(x) == str]', 0.75)","('nums = [x for x in mixed if type(x) == str], chars = [x for x in mixed if type(x) == int]', 0)","('nums = [x for x in mixed if x % 2 == 0], chars = [x for x in mixed if x % 2!= 0]', 0)","('nums = [x*2 for x in mixed], chars = [x+2 for x in mixed]', 0.25)",Lists and List Comprehensions,Hard
ในการทำงานกับ list comprehension เราสามารถใช้วิธีการใดในการเรียงลำดับข้อมูลใน list?,"('sort()', 0.75)","('order()', 0)","('arrange()', 0)","('organize()', 0.25)",Lists and List Comprehensions,Medium
"ถ้าเรามี list ที่ชื่อว่า words = ['python', 'is', 'awesome'] และเราต้องการรวมข้อมูลใน list นี้เป็น string เดียว เราสามารถใช้วิธีการใด?","(""' '.join(words)"", 0.75)","(""','.join(words)"", 0)","(""'_'.join(words)"", 0.25)","(""words.join('')"", 0)",Lists and List Comprehensions,Medium
