Question,Level,Choice
วิธีการใดสามารถใช้เพื่อตรวจสอบว่ามี key ใน dictionary หรือไม่?,Intermediate,"[{'text': 'if key in dict:', 'weight': 1}, {'text': 'dict.has_key(key)', 'weight': 0.5}, {'text': 'dict[key]!= None', 'weight': 0.25}, {'text': 'key == dict.keys()', 'weight': 0}]"
การทำงานของโค้ด Python ด้านล่างนี้คืออะไร?,Intermediate,"[{'text': 'การวน loop ไม่รู้จบ', 'weight': 0.25}, {'text': 'การวน loop 10 รอบ', 'weight': 0}, {'text': 'การวน loop 5 รอบ', 'weight': 1}, {'text': 'การวน loop 15 รอบ', 'weight': 0}]"
คำสั่งใดใน Python ใช้สำหรับการ import module ทั้งหมด?,Intermediate,"[{'text': 'import *', 'weight': 1}, {'text': 'from module import *', 'weight': 0.75}, {'text': 'import all', 'weight': 0}, {'text': 'load module', 'weight': 0}]"
โค้ดต่อไปนี้จะพิมพ์อะไรออกมา?,Intermediate,"[{'text': ""'Hello', 'World'"", 'weight': 0}, {'text': ""'Hello World'"", 'weight': 1}, {'text': ""('Hello', 'World')"", 'weight': 0.5}, {'text': 'Error', 'weight': 0}]"
การทำงานของฟังก์ชัน lambda ใน Python คืออะไร?,Intermediate,"[{'text': 'สร้างฟังก์ชันที่ไม่มีชื่อ', 'weight': 1}, {'text': 'สร้างคลาสใหม่', 'weight': 0}, {'text': 'เรียกใช้ฟังก์ชันที่มีอยู่แล้ว', 'weight': 0}, {'text': 'สร้าง module ใหม่', 'weight': 0}]"
ความแตกต่างระหว่าง list กับ tuple ใน Python คืออะไร?,Intermediate,"[{'text': 'list เป็น Immutable แต่ tuple เป็น Mutable', 'weight': 0}, {'text': 'tuple เป็น Immutable แต่ list เป็น Mutable', 'weight': 1}, {'text': 'list และ tuple ทั้งคู่เป็น Immutable', 'weight': 0}, {'text': 'list และ tuple ทั้งคู่เป็น Mutable', 'weight': 0}]"
วิธีการที่ถูกต้องในการเขียน exception handling ใน Python คืออะไร?,Intermediate,"[{'text': 'try - catch', 'weight': 0}, {'text': 'try - except', 'weight': 1}, {'text': 'error - catch', 'weight': 0}, {'text': 'exception - handle', 'weight': 0}]"
การทำงานของ keyword'self' ใน Python คืออะไร?,Intermediate,"[{'text': 'อ้างอิงถึง object ที่กำลังสร้าง', 'weight': 1}, {'text': 'อ้างอิงถึง class ที่กำลังสร้าง', 'weight': 0}, {'text': 'อ้างอิงถึง function ที่กำลังสร้าง', 'weight': 0}, {'text': 'ไม่ใช่ keyword ใน Python', 'weight': 0}]"
การทำงานของฟังก์ชัน map() ในภาษา Python คืออะไร?,Intermediate,"[{'text': 'ใช้สำหรับการเรียงลำดับข้อมูล', 'weight': 0}, {'text': 'ใช้สำหรับการแปลงข้อมูล', 'weight': 0.25}, {'text': 'ใช้สำหรับการกรองข้อมูล', 'weight': 0.5}, {'text': 'ใช้สำหรับการประมวลผลข้อมูลแบบหลายๆ ครั้ง', 'weight': 1}]"
วิธีการเข้าถึงสมาชิกในคลาส Python คืออะไร?,Intermediate,"[{'text': ""ใช้สัญลักษณ์ '.' เพื่อเข้าถึงสมาชิก"", 'weight': 1}, {'text': ""ใช้สัญลักษณ์ '->' เพื่อเข้าถึงสมาชิก"", 'weight': 0}, {'text': ""ใช้สัญลักษณ์ '::' เพื่อเข้าถึงสมาชิก"", 'weight': 0}, {'text': 'ไม่สามารถเข้าถึงสมาชิกในคลาส Python ได้', 'weight': 0}]"
ความแตกต่างระหว่าง list กับ tuple ใน Python คืออะไร?,Intermediate,"[{'text': 'list สามารถแก้ไขได้ แต่ tuple ไม่สามารถแก้ไข', 'weight': 1}, {'text': 'tuple สามารถแก้ไขได้ แต่ list ไม่สามารถแก้ไข', 'weight': 0}, {'text': 'ทั้ง list และ tuple สามารถแก้ไขได้', 'weight': 0}, {'text': 'ไม่มีความแตกต่างระหว่าง list และ tuple', 'weight': 0}]"
การใช้งาน keyword 'yield' ในฟังก์ชัน Python มีผลต่อการทำงานอย่างไร?,Intermediate,"[{'text': 'ทำให้ฟังก์ชันเป็น generator function', 'weight': 1}, {'text': 'ทำให้ฟังก์ชันเป็น asynchronous function', 'weight': 0}, {'text': 'ไม่มีผลต่อการทำงานของฟังก์ชัน', 'weight': 0}, {'text': 'ทำให้ฟังก์ชันทำงานช้าลง', 'weight': 0}]"
วิธีการสร้าง dictionary comprehension ใน Python คืออะไร?,Intermediate,"[{'text': '{key: value for key, value in iterable}', 'weight': 1}, {'text': '[key: value for key, value in iterable]', 'weight': 0}, {'text': '(key: value for key, value in iterable)', 'weight': 0}, {'text': 'ไม่สามารถสร้าง dictionary comprehension ได้', 'weight': 0}]"
การทำงานของฟังก์ชัน map ใน Python คืออะไร?,Intermediate,"[{'text': 'แปลงค่าในลิสต์เป็น string', 'weight': 0}, {'text': 'นำค่าในลิสต์มาทำการคำนวณตามฟังก์ชันที่กำหนด', 'weight': 1}, {'text': 'จัดการกับ exception ที่เกิดขึ้นในโค้ด', 'weight': 0}, {'text': 'ใช้สำหรับการสร้าง object ของ class', 'weight': 0}]"
การทำงานของฟังก์ชัน filter ใน Python คืออะไร?,Intermediate,"[{'text': 'ใช้สำหรับการแปลงข้อมูล', 'weight': 0}, {'text': 'ใช้สำหรับการคัดกรองข้อมูลตามเงื่อนไขที่กำหนด', 'weight': 1}, {'text': 'ใช้สำหรับการเรียงลำดับข้อมูล', 'weight': 0}, {'text': 'ใช้สำหรับการรวมผลรวมของข้อมูล', 'weight': 0}]"
คุณสมบัติของ Decorator ใน Python คืออะไร?,Intermediate,"[{'text': 'ใช้สำหรับการเขียนฟังก์ชันที่มีการวนซ้ำ', 'weight': 0}, {'text': 'ใช้สำหรับการเพิ่มความสามารถให้กับฟังก์ชันที่มีอยู่แล้ว', 'weight': 1}, {'text': 'ใช้สำหรับการจัดการกับ exception', 'weight': 0}, {'text': 'ใช้สำหรับการสร้าง class', 'weight': 0}]"
การทำงานของฟังก์ชัน zip ใน Python คืออะไร?,Intermediate,"[{'text': 'ใช้สำหรับการแปลงข้อมูลเป็น dictionary', 'weight': 0}, {'text': 'ใช้สำหรับการรวมข้อมูลจากหลายๆ ลิสต์', 'weight': 1}, {'text': 'ใช้สำหรับการคัดกรองข้อมูล', 'weight': 0}, {'text': 'ใช้สำหรับการเรียงลำดับข้อมูล', 'weight': 0}]"
คุณสมบัติของ Context Manager ใน Python คืออะไร?,Intermediate,"[{'text': 'ใช้สำหรับการจัดการทรัพยากร เช่น การเปิดไฟล์', 'weight': 1}, {'text': 'ใช้สำหรับการแปลงข้อมูล', 'weight': 0}, {'text': 'ใช้สำหรับการคัดกรองข้อมูล', 'weight': 0}, {'text': 'ใช้สำหรับการเรียงลำดับข้อมูล', 'weight': 0}]"
โค้ด Python ต่อไปนี้จะทำอะไร,Intermediate,"[{'text': 'สร้าง list ที่มีค่าเดียวกันทั้งหมด', 'weight': 0}, {'text': 'สร้าง list ที่มีค่าเพิ่มขึ้นทีละ 1', 'weight': 0.25}, {'text': 'สร้าง list ที่มีค่าลดลงเรื่อยๆ', 'weight': 0.5}, {'text': 'สร้าง list ที่มีค่า 0-9', 'weight': 1}]"
ฟังก์ชันใดใน Python ที่ใช้สำหรับการแปลง string เป็นเลขฐานสอง,Intermediate,"[{'text': 'bin()', 'weight': 1}, {'text': 'int()', 'weight': 0.25}, {'text': 'str()', 'weight': 0}, {'text': 'float()', 'weight': 0}]"
วิธีการใดที่ถูกต้องในการเข้าถึงสมาชิกของ dictionary ใน Python,Intermediate,"[{'text': 'ใช้ dot notation', 'weight': 0.5}, {'text': 'ใช้ square bracket notation', 'weight': 1}, {'text': 'ใช้ curly bracket notation', 'weight': 0}, {'text': 'ไม่สามารถเข้าถึงสมาชิกของ dictionary ได้', 'weight': 0}]"
การทำงานของโค้ด Python ต่อไปนี้คืออะไร,Intermediate,"[{'text': 'เป็นการสร้าง function ที่ไม่มีการ return ค่า', 'weight': 0}, {'text': 'เป็นการสร้าง function ที่ return ค่าเป็น None', 'weight': 1}, {'text': 'เป็นการสร้าง function ที่ return ค่าเป็น 0', 'weight': 0}, {'text': ""เป็นการสร้าง function ที่ return ค่าเป็น 'None'"", 'weight': 0.25}]"
โค้ด Python ต่อไปนี้จะทำอะไร,Intermediate,"[{'text': 'เป็นการสร้าง set ที่มีค่า 1-10', 'weight': 0}, {'text': 'เป็นการสร้าง tuple ที่มีค่า 1-10', 'weight': 0.25}, {'text': 'เป็นการสร้าง list ที่มีค่า 1-10', 'weight': 1}, {'text': 'เป็นการสร้าง dictionary ที่มีค่า 1-10', 'weight': 0}]"
การทำงานของฟังก์ชัน lambda ใน Python คืออะไร?,Intermediate,"[{'text': 'ใช้สำหรับการสร้าง class', 'weight': 0}, {'text': 'ใช้สำหรับการสร้าง module', 'weight': 0}, {'text': 'ใช้สำหรับการสร้างฟังก์ชันที่มีโครงสร้างเล็กๆ', 'weight': 1}, {'text': 'ใช้สำหรับการสร้าง object', 'weight': 0}]"
คุณสามารถเข้าถึง element ภายใน list โดยการใช้ index ที่เป็นเลขลบได้หรือไม่?,Intermediate,"[{'text': 'ไม่สามารถ', 'weight': 0}, {'text': 'สามารถ แต่เพียง index -1', 'weight': 0.5}, {'text': 'สามารถ เข้าถึง element จากท้าย list', 'weight': 1}, {'text': 'ขึ้นอยู่กับขนาดของ list', 'weight': 0}]"
วิธีการทำงานของ keyword 'yield' ใน Python คืออะไร?,Intermediate,"[{'text': 'ใช้สำหรับการสร้าง iterator', 'weight': 1}, {'text': 'ใช้สำหรับการสร้าง generator', 'weight': 0.75}, {'text': 'ใช้สำหรับการสร้าง decorator', 'weight': 0}, {'text': 'ไม่มีผลกระทบต่อโค้ด', 'weight': 0}]"
ความแตกต่างระหว่าง 'break' และ 'continue' ใน Python คืออะไร?,Intermediate,"[{'text': ""'break' จะหยุด loop ทันที ส่วน 'continue' จะข้าม iteration ปัจจุบัน"", 'weight': 1}, {'text': ""'continue' จะหยุด loop ทันที ส่วน 'break' จะข้าม iteration ปัจจุบัน"", 'weight': 0}, {'text': 'ทั้งสองคำสั่งมีความหมายเดียวกัน', 'weight': 0}, {'text': 'ไม่มีความแตกต่าง', 'weight': 0}]"
วิธีการทำงานของ 'zip' function ใน Python คืออะไร?,Intermediate,"[{'text': 'ใช้สำหรับการรวม list หลายๆ อัน', 'weight': 1}, {'text': 'ใช้สำหรับการแปลง list เป็น tuple', 'weight': 0}, {'text': 'ใช้สำหรับการคัดลอก element จาก list', 'weight': 0}, {'text': 'ไม่มีผลกระทบต่อ list', 'weight': 0}]"
โค้ดต่อไปนี้จะทำอะไร?,Intermediate,"[{'text': 'สร้างลิสต์ของตัวเลขที่เพิ่มขึ้น', 'weight': 0}, {'text': 'สร้างลิสต์ของตัวเลขที่ลดลง', 'weight': 0.25}, {'text': 'สร้างลิสต์ของตัวเลขที่เพิ่มขึ้นแบบคูณสอง', 'weight': 0.75}, {'text': 'สร้างลิสต์ของตัวเลขที่เพิ่มขึ้นแบบคูณสองเริ่มต้นที่ 1', 'weight': 1}]"
ฟังก์ชัน `map()` ใน Python ทำอะไร?,Intermediate,"[{'text': 'ใช้แปลงข้อมูลจากหนึ่งรูปแบบเป็นอีกรูปแบบ', 'weight': 0.5}, {'text': 'ใช้กรองข้อมูลตามเงื่อนไขที่กำหนด', 'weight': 0}, {'text': 'ใช้ทำการประมวลผลข้อมูลทั้งหมดในลิสต์', 'weight': 0.25}, {'text': 'ใช้ทำการแปลงข้อมูลทั้งหมดในลิสต์ตามฟังก์ชันที่กำหนด', 'weight': 1}]"
โค้ดต่อไปนี้จะทำอะไร?,Intermediate,"[{'text': ""พิมพ์ 'Hello, world!' 5 ครั้ง"", 'weight': 0.5}, {'text': ""พิมพ์ 'Hello, world!' 10 ครั้ง"", 'weight': 0}, {'text': ""พิมพ์ 'Hello, world!' 3 ครั้ง"", 'weight': 0.25}, {'text': ""พิมพ์ 'Hello, world!' 6 ครั้ง"", 'weight': 1}]"
วัตถุประสงค์ของการใช้ `try-except` ใน Python คืออะไร?,Intermediate,"[{'text': 'เพื่อเพิ่มความเร็วในการทำงานของโปรแกรม', 'weight': 0}, {'text': 'เพื่อลดขนาดของโค้ด', 'weight': 0}, {'text': 'เพื่อจัดการกับข้อผิดพลาดที่อาจเกิดขึ้น', 'weight': 1}, {'text': 'เพื่อเพิ่มความปลอดภัยของโปรแกรม', 'weight': 0.25}]"
การทำงานของ `set` ใน Python คืออะไร?,Intermediate,"[{'text': 'การจัดเก็บข้อมูลแบบไม่ซ้ำซ้อน', 'weight': 1}, {'text': 'การจัดเก็บข้อมูลแบบซ้ำซ้อน', 'weight': 0}, {'text': 'การจัดเก็บข้อมูลแบบเรียงลำดับ', 'weight': 0.25}, {'text': 'การจัดเก็บข้อมูลแบบสุ่ม', 'weight': 0.5}]"
โค้ด Python ต่อไปนี้จะทำอะไร?,Intermediate,"[{'text': 'สร้างลิสต์ที่มีสมาชิก 10 ตัว', 'weight': 0.25}, {'text': 'สร้างลิสต์ที่มีสมาชิก 5 ตัว', 'weight': 1}, {'text': 'สร้างลิสต์ที่ไม่มีสมาชิก', 'weight': 0}, {'text': 'สร้างลิสต์ที่มีสมาชิก 15 ตัว', 'weight': 0}]"
ฟังก์ชันใดใน Python ที่ใช้สำหรับการเรียงลำดับลิสต์?,Intermediate,"[{'text': 'sorted()', 'weight': 1}, {'text': 'reverse()', 'weight': 0.25}, {'text': 'sort()', 'weight': 0.5}, {'text': 'order()', 'weight': 0}]"
การทำงานของโค้ด Python ต่อไปนี้คืออะไร?,Intermediate,"[{'text': ""เป็นการตรวจสอบว่าสมาชิก 'apple' อยู่ในลิสต์หรือไม่"", 'weight': 1}, {'text': ""เป็นการเพิ่มสมาชิก 'apple' เข้าไปในลิสต์"", 'weight': 0}, {'text': ""เป็นการลบสมาชิก 'apple' ออกจากลิสต์"", 'weight': 0}, {'text': ""เป็นการตรวจสอบว่าลิสต์มีสมาชิก 'apple' มากกว่าหนึ่งหรือไม่"", 'weight': 0.5}]"
การทำงานของโค้ด Python ต่อไปนี้คืออะไร?,Intermediate,"[{'text': 'เป็นการแปลงค่าทศนิยมเป็นจำนวนเต็ม', 'weight': 1}, {'text': 'เป็นการแปลงจำนวนเต็มเป็นค่าทศนิยม', 'weight': 0}, {'text': 'เป็นการแปลงสตริงเป็นจำนวนเต็ม', 'weight': 0.25}, {'text': 'เป็นการแปลงสตริงเป็นค่าทศนิยม', 'weight': 0.5}]"
ฟังก์ชันใดใน Python ที่ใช้สำหรับการรับข้อมูลผู้ใช้?,Intermediate,"[{'text': 'print()', 'weight': 0}, {'text': 'input()', 'weight': 1}, {'text': 'output()', 'weight': 0}, {'text': 'read()', 'weight': 0.5}]"
การทำงานของฟังก์ชัน lambda ใน Python คืออะไร?,Intermediate,"[{'text': 'เป็นการสร้าง loop ที่ไม่จำเป็นต้องมีชื่อ', 'weight': 0}, {'text': 'เป็นการสร้าง list ที่ไม่สามารถแก้ไขได้', 'weight': 0.25}, {'text': 'เป็นฟังก์ชันที่สร้างขึ้นมาแบบไม่เป็นทางการ', 'weight': 0.75}, {'text': 'เป็นฟังก์ชันที่สามารถสร้างขึ้นมาในบรรทัดเดียว', 'weight': 1}]"
การทำงานของ decorator ใน Python คืออะไร?,Intermediate,"[{'text': 'เป็นการเพิ่มความสามารถให้กับฟังก์ชัน', 'weight': 0.75}, {'text': 'เป็นการลดความสามารถของฟังก์ชัน', 'weight': 0}, {'text': 'เป็นการแปลงฟังก์ชันให้เป็น object', 'weight': 0.25}, {'text': 'เป็นวิธีการเขียนฟังก์ชันที่สามารถนำไปใช้ซ้ำได้', 'weight': 1}]"
การทำงานของ Context Manager ใน Python คืออะไร?,Intermediate,"[{'text': 'เป็นวิธีการจัดการ resource ที่ต้องการการ open และ close', 'weight': 1}, {'text': 'เป็นวิธีการจัดการ error ที่เกิดขึ้นในโปรแกรม', 'weight': 0.5}, {'text': 'เป็นวิธีการจัดการ memory ของ object', 'weight': 0.25}, {'text': 'เป็นวิธีการจัดการ thread ใน multi-threading', 'weight': 0}]"
การทำงานของ map() function ใน Python คืออะไร?,Intermediate,"[{'text': 'เป็นการแปลง list ให้เป็น dictionary', 'weight': 0}, {'text': 'เป็นการนำฟังก์ชันหนึ่งมาประยุกต์ใช้กับ iterable อื่น', 'weight': 1}, {'text': 'เป็นการรวม list หลายๆ อันให้เป็น list เดียว', 'weight': 0.25}, {'text': 'เป็นการค้นหาค่าที่ตรงกับเงื่อนไขใน list', 'weight': 0.5}]"
การทำงานของ yield keyword ใน Python คืออะไร?,Intermediate,"[{'text': 'เป็นการ return ค่าจากฟังก์ชัน', 'weight': 0.5}, {'text': 'เป็นการสร้าง generator ที่สามารถ return ค่าหลายครั้ง', 'weight': 1}, {'text': 'เป็นการสร้าง iterator ที่สามารถวน loop ได้', 'weight': 0.25}, {'text': 'เป็นการสร้าง list comprehension', 'weight': 0}]"
การเขียนโค้ด Python ด้านล่างนี้จะทำอะไร,Intermediate,"[{'text': 'สร้าง dictionary ที่มีคีย์เป็นชื่อและค่าเป็นวัย', 'weight': 0.5}, {'text': 'สร้าง list ที่มีชื่อและวัย', 'weight': 0}, {'text': 'สร้าง tuple ที่มีชื่อและวัย', 'weight': 0}, {'text': 'สร้าง dictionary ที่มีคีย์เป็นชื่อและค่าเป็นวัย และเพิ่มเข้าไปใน list', 'weight': 1}]"
ฟังก์ชันใดใน Python ที่ใช้สำหรับการเรียงลำดับข้อมูล,Intermediate,"[{'text': 'sorted()', 'weight': 1}, {'text': 'reverse()', 'weight': 0}, {'text': 'shuffle()', 'weight': 0}, {'text': 'min()', 'weight': 0}]"
การเขียนโค้ด Python ด้านล่างนี้จะทำอะไร,Intermediate,"[{'text': ""ตรวจสอบว่า 'a' มีอยู่ใน string 'apple' หรือไม่"", 'weight': 1}, {'text': ""ตรวจสอบว่า 'b' มีอยู่ใน string 'apple' หรือไม่"", 'weight': 0}, {'text': ""ตรวจสอบว่า 'a' ไม่มีอยู่ใน string 'apple' หรือไม่"", 'weight': 0}, {'text': ""ตรวจสอบว่า 'apple' เป็น substring ของ 'apple pie' หรือไม่"", 'weight': 0}]"
เมธอดใดใน Python ที่ใช้สำหรับการแปลง string เป็น lowercase,Intermediate,"[{'text': 'lower()', 'weight': 1}, {'text': 'uppercase()', 'weight': 0}, {'text': 'titlecase()', 'weight': 0}, {'text': 'swapcase()', 'weight': 0}]"
การเขียนโค้ด Python ด้านล่างนี้จะทำอะไร,Intermediate,"[{'text': ""เพิ่มสมาชิกใหม่ 'd' เข้าไปใน set {a,b,c}"", 'weight': 1}, {'text': ""ลบสมาชิก 'c' ออกจาก set {a,b,c}"", 'weight': 0}, {'text': ""ตรวจสอบว่า 'd' มีอยู่ใน set {a,b,c} หรือไม่"", 'weight': 0}, {'text': 'เปลี่ยน set {a,b,c} เป็น list', 'weight': 0}]"
คุณสามารถใช้ฟังก์ชันอะไรในการสลับคำสั่ง for loop และ if statement ใน Python?,Intermediate,"[{'text': 'reverse()', 'weight': 0}, {'text': 'enumerate()', 'weight': 0.25}, {'text': 'zip()', 'weight': 0.5}, {'text': 'list comprehension', 'weight': 1}]"
การใช้ฟังก์ชัน try-except-finally จะช่วยจัดการข้อผิดพลาดในโค้ด Python ของคุณอย่างไร?,Intermediate,"[{'text': 'เพิ่มความเร็วในการทำงาน', 'weight': 0}, {'text': 'ลดความซับซ้อนของโค้ด', 'weight': 0.25}, {'text': 'ตรวจสอบและจัดการข้อผิดพลาด', 'weight': 1}, {'text': 'เพิ่มความปลอดภัยในการเข้าถึงไฟล์', 'weight': 0.5}]"
"เมื่อคุณใช้ฟังก์ชัน map() ใน Python, คุณต้องการทำอะไร?",Intermediate,"[{'text': 'กรองข้อมูลจากลิสต์', 'weight': 0.25}, {'text': 'สร้างลิสต์ใหม่โดยการประมวลผลแต่ละข้อมูล', 'weight': 1}, {'text': 'รวมข้อมูลจากหลายลิสต์', 'weight': 0}, {'text': 'ตรวจสอบเงื่อนไขในลิสต์', 'weight': 0.5}]"
คุณสามารถใช้วิธีอะไรในการจัดการโมดูลที่มีชื่อซ้ำใน Python?,Intermediate,"[{'text': ""import ด้วยคำสั่ง 'from module import *'"", 'weight': 0}, {'text': 'ใช้ alias ในการ import โมดูล', 'weight': 1}, {'text': 'เปลี่ยนชื่อโมดูล', 'weight': 0.25}, {'text': 'ไม่สามารถจัดการโมดูลที่มีชื่อซ้ำ', 'weight': 0.5}]"
"เมื่อคุณใช้งาน sets ใน Python, ข้อมูลจะถูกจัดเก็บอย่างไร?",Intermediate,"[{'text': 'ตามลำดับการเพิ่มข้อมูล', 'weight': 0}, {'text': 'แบบไม่มีลำดับและไม่ซ้ำ', 'weight': 1}, {'text': 'แบบมีลำดับแต่ซ้ำ', 'weight': 0.25}, {'text': 'แบบซ้ำแต่ไม่มีลำดับ', 'weight': 0.5}]"
การสร้างฟังก์ชันในภาษา Python สามารถทำได้โดยการใช้คำสั่งใด?,Intermediate,"[{'text': 'def', 'weight': 1}, {'text': 'function', 'weight': 0}, {'text': 'proc', 'weight': 0}, {'text': 'sub', 'weight': 0}]"
"เมื่อเรียกใช้งานฟังก์ชันที่มีพารามิเตอร์ 'a' และ 'b', การส่งค่าผ่านพารามิเตอร์สามารถทำได้แบบไหน?",Intermediate,"[{'text': 'การเรียกใช้งานด้วยลำดับ', 'weight': 1}, {'text': 'การส่งค่าผ่าน key-value pair', 'weight': 0.5}, {'text': 'การส่งค่าผ่าน array', 'weight': 0}, {'text': 'ไม่สามารถส่งค่าผ่านพารามิเตอร์', 'weight': 0}]"
การเข้าถึงสมาชิกใน Dictionary ของ Python สามารถทำได้โดยใช้คำสั่งใด?,Intermediate,"[{'text': 'ด้วยวิธีการ indexing ด้วย key', 'weight': 1}, {'text': 'ด้วยวิธีการ indexing ด้วย index', 'weight': 0}, {'text': 'ด้วยคำสั่ง get_member()', 'weight': 0}, {'text': 'ไม่สามารถเข้าถึงสมาชิกใน Dictionary', 'weight': 0}]"
การแปลง string เป็นเลขทศนิยมใน Python สามารถทำได้โดยใช้ฟังก์ชันใด?,Intermediate,"[{'text': 'float()', 'weight': 1}, {'text': 'int()', 'weight': 0.5}, {'text': 'str_to_num()', 'weight': 0}, {'text': 'number_parse()', 'weight': 0}]"
การสร้างลิสต์ที่มีข้อมูลซ้ำใน Python สามารถทำได้โดยใช้วิธีใด?,Intermediate,"[{'text': 'การใช้ list comprehension', 'weight': 1}, {'text': 'การใช้ for loop', 'weight': 0.75}, {'text': 'การใช้ while loop', 'weight': 0.25}, {'text': 'ไม่สามารถสร้างลิสต์ที่มีข้อมูลซ้ำ', 'weight': 0}]"
โค้ด Python ด้านล่างจะพิมพ์อะไรออกมา?,Intermediate,"[{'text': 'Hello, World!', 'weight': 0}, {'text': 'Goodbye, World!', 'weight': 0.25}, {'text': 'Error', 'weight': 0.5}, {'text': 'Hello, Universe!', 'weight': 1}]"
ฟังก์ชันใดใน Python ที่ใช้สำหรับการจัดเรียง list?,Intermediate,"[{'text': 'reverse()', 'weight': 0.5}, {'text': 'sort()', 'weight': 1}, {'text': 'order()', 'weight': 0}, {'text': 'arrange()', 'weight': 0}]"
การเขียน regex ใน Python ควรใช้โมดูลใด?,Intermediate,"[{'text': 're', 'weight': 1}, {'text': 'regex', 'weight': 0}, {'text': 'pattern', 'weight': 0}, {'text': 'match', 'weight': 0}]"
วิธีการใดใน Python ที่สามารถนำไปใช้กับ object ของคลาสใดๆ?,Intermediate,"[{'text': '__str__()', 'weight': 1}, {'text': '__repr__()', 'weight': 0.5}, {'text': '__describe__()', 'weight': 0}, {'text': '__display__()', 'weight': 0}]"
โค้ด Python ด้านล่างจะพิมพ์อะไรออกมา? print([x for x in range(5) if x % 2 == 0]),Intermediate,"[{'text': '[1, 3, 5]', 'weight': 0}, {'text': '[0, 2, 4]', 'weight': 1}, {'text': '[0, 1, 2, 3, 4]', 'weight': 0}, {'text': 'Error', 'weight': 0}]"
