,Question,Choice1,Choice2,Choice3,Choice4,Topic,Level
48,ในกรณีที่ต้องการจับข้อผิดพลาดที่เฉพาะเจาะจงใน Python ควรใช้คำสั่งใด?,"('except Exception:', 0.5)","('except ZeroDivisionError:', 1)","('except TypeError:', 0)","('except ValueError:', 0)",ErrorHandling,Medium
49,เมื่อใช้คำสั่ง try...except ใน Python แล้วมีข้อผิดพลาดเกิดขึ้น คำสั่งที่จะถูกเรียกใช้คือ?,"('except', 1)","('finally', 0.5)","('else', 0)","('raise', 0)",ErrorHandling,Medium
50,คำสั่ง finally ใน Python ใช้เพื่ออะไร?,"('จัดการกับข้อผิดพลาด', 0.5)","('ทำความสะอาดทรัพยากร', 1)","('เรียกใช้งานฟังก์ชัน', 0)","('วนลูป', 0)",ErrorHandling,Medium
51,คำสั่ง raise ใน Python ใช้เพื่ออะไร?,"('สร้างข้อผิดพลาด', 1)","('จัดการกับข้อผิดพลาด', 0)","('ทำความสะอาดทรัพยากร', 0)","('วนลูป', 0)",ErrorHandling,Medium
52,คำสั่ง assert ใน Python ใช้เพื่ออะไร?,"('ตรวจสอบเงื่อนไข', 1)","('จัดการกับข้อผิดพลาด', 0)","('ทำความสะอาดทรัพยากร', 0)","('วนลูป', 0)",ErrorHandling,Medium
53,การทำ Error Handling ใน Python สามารถทำได้โดยการใช้คำสั่งใด?,"('try...except', 1)","('if...else', 0)","('while...break', 0)","('for...in', 0)",ErrorHandling,Easy
54,ใน Python การใช้คำสั่ง with statement มีความสำคัญอย่างไร?,"('เพื่อจัดการกับไฟล์และทรัพยากรอื่นๆ', 1)","('เพื่อเพิ่มความเร็วในการทำงานของโปรแกรม', 0)","('เพื่อแสดงข้อความแจ้งเตือน', 0)","('เพื่อทำความสะอาดทรัพยากรที่ใช้งาน', 0.5)",ErrorHandling,Medium
55,ใน Python คำสั่ง traceback module ถูกใช้เพื่ออะไร?,"('เพื่อแสดงข้อความแจ้งเตือน', 0)","('เพื่อทำความสะอาดทรัพยากรที่ใช้งาน', 0)","('เพื่อแสดงข้อมูลเกี่ยวกับข้อผิดพลาดที่เกิดขึ้น', 1)","('เพื่อเพิ่มความเร็วในการทำงานของโปรแกรม', 0)",ErrorHandling,Hard
56,ใน Python การใช้คำสั่ง logging module มีความสำคัญอย่างไร?,"('เพื่อแสดงข้อความแจ้งเตือน', 0.5)","('เพื่อทำความสะอาดทรัพยากรที่ใช้งาน', 0)","('เพื่อบันทึกเหตุการณ์ที่เกิดขึ้นในโปรแกรม', 1)","('เพื่อเพิ่มความเร็วในการทำงานของโปรแกรม', 0)",ErrorHandling,Medium
57,ฟังก์ชันใน Python สามารถรับค่าอะไรได้บ้าง?,"('ค่าที่กำหนด', 0.75)","('ค่าที่ไม่กำหนด', 0)","('ค่าที่เป็นตัวเลข', 0.25)","('ค่าที่เป็นตัวอักษร', 0.5)",Functions,Easy
58,ฟังก์ชันในภาษา Python สามารถรับค่าอะไรได้บ้าง?,"('ค่าที่กำหนด', 0.75)","('ค่าที่ไม่กำหนด', 0)","('ค่าที่เป็นตัวเลข', 0.25)","('ค่าที่เป็นตัวอักษร', 0.5)",Functions,Easy
59,คำสั่งไหนใช้ในการเรียกใช้งานฟังก์ชัน?,"('print()', 0)","('call()', 0)","('function()', 0)","('ฟังก์ชันชื่อ()', 1)",Functions,Easy
60,ฟังก์ชันใน Python สามารถทำอะไรได้บ้าง?,"('คำนวณผลลัพธ์', 0.5)","('จัดการข้อมูล', 0.5)","('แสดงผลลัพธ์', 0)","('ทั้งหมดข้างต้น', 1)",Functions,Medium
61,คำสั่งไหนที่ใช้ในการเรียกใช้งานฟังก์ชันใน Python?,"('print()', 0)","('call()', 0)","('function()', 0)","('()', 0.75)",Functions,Easy
62,ฟังก์ชันใน Python สามารถคืนค่าได้กี่ค่า?,"('1 ค่า', 0.75)","('หลายค่า', 0)","('ไม่สามารถคืนค่าได้', 0)","('ขึ้นอยู่กับฟังก์ชัน', 0.25)",Functions,Medium
63,การรับค่าที่ผู้ใช้ป้อนเข้ามาในภาษา Python สามารถทำได้ด้วยคำสั่งใดบ้าง?,"('input() และ eval()', 1)","('read() และ parse()', 0.5)","('get() และ decode()', 0.25)","('receive() และ interpret()', 0)",InputandOutput,Easy
64,ถ้าเราต้องการแสดงผลลัพธ์แบบมีการจัดรูปแบบในภาษา Python ควรใช้คำสั่งใด?,"('print(format())', 1)","('display(format())', 0.75)","('println(format())', 0.5)","('write(format())', 0.25)",InputandOutput,Hard
65,การทำงานของคำสั่ง int(input()) ใน Python คืออะไร?,"('รับค่าข้อมูลเป็นตัวเลขจากผู้ใช้', 1)","('พิมพ์ข้อความออกมา', 0)","('ทำการคำนวณ', 0)","('จัดเก็บข้อมูล', 0)",InputandOutput,Hard
66,ถ้าเราต้องการรับค่าที่ผู้ใช้ป้อนเข้ามาในภาษา Python ควรใช้คำสั่งใด?,"('input()', 1)","('read()', 0.5)","('get()', 0.25)","('receive()', 0)",InputandOutput,Easy
67,ถ้าเราต้องการแสดงผลลัพธ์แบบไม่มีการขึ้นบรรทัดใหม่ในภาษา Python ควรใช้คำสั่งใด?,"(""print('Hello, World!', end='')"", 1)","(""print('Hello, World!', newline=False)"", 0.75)","(""println('Hello, World!')"", 0.5)","(""display('Hello, World!')"", 0.25)",InputandOutput,Medium
68,การแสดงผลลัพธ์ในภาษา Python สามารถทำได้ด้วยฟังก์ชันใดบ้าง?,"('print() และ input()', 1)","('display() และ writeln()', 0.5)","('echo() และ readln()', 0.25)","('write() และ show()', 0)",InputandOutput,Medium
69,การเขียน print() ใน Python ใช้สำหรับอะไร?,"('พิมพ์ข้อความหรือข้อมูลออกมา', 1)","('รับค่าข้อมูลจากผู้ใช้', 0)","('ทำการคำนวณ', 0)","('จัดเก็บข้อมูล', 0)",InputandOutput,Easy
70,"โค้ด Python ด้านล่างนี้จะพิมพ์อะไรออกมา
name = 'John'
print('Hello,'+ name)","('Hello, John', 1)","('Error', 0)","('Hello, ', 0)","('John', 0)",InputandOutput,Medium
71,ใน Python เราสามารถพิมพ์ข้อความหลายบรรทัดได้โดยใช้คำสั่งใด?,"('print()', 0.75)","('input()', 0)","(""print('''text''')"", 0.25)","('print(""""""text"""""")', 1)",InputandOutput,Medium
72,การทำงานของคำสั่ง input() ใน Python คืออะไร?,"('รับค่าข้อมูลจากผู้ใช้', 1)","('พิมพ์ข้อความออกมา', 0)","('ทำการคำนวณ', 0)","('จัดเก็บข้อมูล', 0)",InputandOutput,Medium
73,"โค้ด Python ด้านล่างนี้จะพิมพ์อะไรออกมา
name = input('What is your name? ')
print(name)","('What is your name? ', 0)","('Name not defined', 0)","(""User's input"", 1)","('Error', 0)",InputandOutput,Hard
74,"โค้ด Python ด้านล่างนี้จะพิมพ์อะไรออกมา
num = int(input('Enter a number: '))
print(num + 5)","(""User's input + 5"", 1)","('Error', 0)","('5', 0)","(""User's input"", 0)",InputandOutput,Hard
75,เมื่อเราพิมพ์คำสั่ง print('Hello') ใน Python จะเกิดอะไรขึ้น?,"(""พิมพ์ 'Hello' ออกมา"", 1)","('ไม่มีอะไรเกิดขึ้น', 0)","('Error', 0)","(""พิมพ์ 'hello' ออกมา"", 0)",InputandOutput,Easy
76,ถ้าเราต้องการรับค่าที่ผู้ใช้ป้อนเข้ามาและแปลงเป็นตัวเลขในภาษา Python ควรใช้คำสั่งใด?,"('int(input())', 1)","('float(input())', 0.75)","('eval(input())', 0.5)","('parse(input())', 0.25)",InputandOutput,Medium
77,ถ้าเราต้องการแสดงผลลัพธ์แบบไม่มีบรรทัดใหม่ในภาษา Python ควรใช้คำสั่งใด?,"(""print('Hello, World!', end='')"", 1)","(""print('Hello, World!', newline=False)"", 0.5)","(""println('Hello, World!')"", 0.25)","(""display('Hello, World!')"", 0)",InputandOutput,Medium
78,"เมื่อคุณใช้ฟังก์ชัน next() กับ iterator ที่ไม่มีค่าใดๆ อีก, จะเกิดอะไรขึ้น?","('จะแสดงค่า None', 0)","(""จะแสดงข้อความ 'No more items'"", 0)","('จะเกิด StopIteration Exception', 1)","('จะวน loop ไปเรื่อยๆ', 0)",IteratorsandGenerators,Medium
79,ความหมายของ StopIteration exception ในภาษา Python คืออะไร?,"('แสดงว่าการวนซ้ำผ่าน iterator หรือ generator นั้นเสร็จสิ้นแล้ว', 1)","('แสดงว่าการวนซ้ำผ่าน iterator หรือ generator ยังไม่เสร็จสิ้น', 0.25)","('แสดงว่าการวนซ้ำผ่าน list หรือ tuple นั้นเสร็จสิ้นแล้ว', 0.5)","('ไม่มีความหมายใดๆ', 0)",IteratorsandGenerators,Medium
80,เมื่อไหร่ที่ควรใช้ generator แทน list ใน Python?,"('เมื่อคุณต้องการเก็บข้อมูลขนาดใหญ่', 1)","('เมื่อคุณต้องการวน loop ผ่านข้อมูลหลายครั้ง', 0)","('เมื่อคุณต้องการใช้งานกับฟังก์ชันที่รองรับ generator', 0.5)","('ไม่มีกรณีที่ควรใช้ generator แทน list', 0)",IteratorsandGenerators,Hard
81,ความสำคัญของการใช้ generator ใน Python คืออะไร?,"('ช่วยลดการใช้ memory', 1)","('ช่วยเพิ่มความเร็วในการประมวลผล', 0.5)","('ช่วยลดความซับซ้อนของโค้ด', 0.5)","('ไม่มีความสำคัญใดๆ', 0)",IteratorsandGenerators,Hard
82,การทำงานของ generator ใน Python คืออะไร?,"('สร้างค่าขึ้นมาทีละหนึ่งและเก็บค่าที่สร้างไว้ใน memory', 1)","('สร้างค่าขึ้นมาทีละหนึ่งแต่ไม่เก็บค่าที่สร้างไว้ใน memory', 0)","('ใช้ค่าที่มีอยู่แล้วและวน loop ไปเรื่อยๆ', 0)","('ไม่สามารถทำงานร่วมกับฟังก์ชันใดๆ', 0)",IteratorsandGenerators,Medium
83,ฟังก์ชันใดใน Python ที่สามารถใช้ร่วมกับ generator?,"('map()', 1)","('filter()', 1)","('reduce()', 0.5)","('sorted()', 0)",IteratorsandGenerators,Medium
84,คำสั่งไหนที่ใช้สำหรับการเรียกใช้งาน iterator ใน Python?,"('next()', 1)","('iter()', 0)","('len()', 0)","('range()', 0)",IteratorsandGenerators,Easy
85,การทำงานของฟังก์ชัน iter() ในภาษา Python คืออะไร?,"('สร้าง iterator จาก object ที่กำหนด', 1)","('สร้าง generator จาก object ที่กำหนด', 0.25)","('สร้าง list จาก object ที่กำหนด', 0.5)","('ไม่มีการทำงานใดๆ', 0)",IteratorsandGenerators,Medium
86,การทำงานของฟังก์ชัน next() ในภาษา Python คืออะไร?,"('เรียกใช้งานเจเนอเรเตอร์ (generator) ให้ผลิตค่าถัดไป', 1)","('เรียกใช้งาน list ให้ผลิตค่าถัดไป', 0.25)","('เรียกใช้งาน tuple ให้ผลิตค่าถัดไป', 0.5)","('ไม่มีการทำงานใดๆ', 0)",IteratorsandGenerators,Medium
87,"ในภาษา Python, คุณสามารถใช้ฟังก์ชันใดในการสร้าง iterator?","('iter()', 0.75)","('next()', 0.25)","('len()', 0)","('range()', 0)",IteratorsandGenerators,Easy
88,เมื่อเรียกใช้งานเจเนอเรเตอร์ (generator) ในภาษา Python จะเกิดอะไรขึ้น?,"('จะวนซ้ำๆผ่านทุก element ใน sequence', 0.25)","('จะวนผ่าน element ใน sequence เพียงครั้งเดียว', 1)","('จะสร้าง sequence ของค่าที่ต้องการ', 0.5)","('จะไม่เกิดอะไรขึ้น', 0)",IteratorsandGenerators,Medium
89,การทำงานของเจเนอเรเตอร์ (generator) ในภาษา Python คืออะไร?,"('สร้าง sequence ของค่าที่ต้องการ', 1)","('วนซ้ำๆผ่านทุก element ใน sequence', 0.25)","('วนผ่าน element ใน sequence เพียงครั้งเดียว', 0.5)","('ไม่สามารถสร้าง sequence ของค่าที่ต้องการได้', 0)",IteratorsandGenerators,Medium
90,คำสั่งใดในภาษา Python ที่ใช้สำหรับการสร้าง generator?,"('yield', 1)","('return', 0.25)","('next()', 0.5)","('iter()', 0)",IteratorsandGenerators,Easy
91,ความแตกต่างระหว่าง iterator และ generator คืออะไร?,"('iterator สามารถวน loop ได้หลายรอบ แต่ generator ไม่สามารถทำได้', 0)","('generator สามารถวน loop ได้หลายรอบ แต่ iterator ไม่สามารถทำได้', 0)","('generator สร้างค่าขึ้นมาทีละหนึ่ง แต่ iterator ใช้ค่าที่มีอยู่แล้ว', 1)","('generator ใช้ค่าที่มีอยู่แล้ว แต่ iterator สร้างค่าขึ้นมาทีละหนึ่ง', 0)",IteratorsandGenerators,Hard
92,คุณสามารถใช้วิธีใดในการตรวจสอบว่า iterator ยังมีค่าเหลืออยู่หรือไม่?,"('การใช้ try-except block', 1)","('การใช้ len() function', 0)","('การใช้ next() function', 0)","('การใช้ range() function', 0)",IteratorsandGenerators,Hard
93,การทำงานของอิเทอเรเตอร์ (iterator) ในภาษา Python คืออะไร?,"('วนซ้ำๆผ่านทุก element ใน sequence', 1)","('วนซ้ำๆผ่านบาง element ใน sequence', 0.25)","('วนผ่าน element ใน sequence เพียงครั้งเดียว', 0.5)","('ไม่สามารถวนผ่าน element ใน sequence ได้', 0)",IteratorsandGenerators,Easy
94,ความแตกต่างระหว่าง list comprehension และ generator expression ในภาษา Python คืออะไร?,"('list comprehension สร้าง list ขึ้นมาทันที ส่วน generator expression สร้าง generator', 1)","('list comprehension สร้าง generator ขึ้นมาทันที ส่วน generator expression สร้าง list', 0)","('ทั้งสองอย่างสร้าง list ขึ้นมาทันที', 0.25)","('ทั้งสองอย่างสร้าง generator ขึ้นมาทันที', 0.5)",IteratorsandGenerators,Hard
95,การเรียกใช้ฟังก์ชัน sort() กับ list จะทำให้ list นั้นถูกจัดเรียงอย่างไร?,"('จากน้อยไปมาก', 0.5)","('จากมากไปน้อย', 0.75)","('ไม่มีการจัดเรียง', 0)","('ตามลำดับอักขระ', 1)",List,Medium
96,ความสามารถของ list comprehension คืออะไร?,"('สามารถสร้าง list ใหม่จาก list เดิม', 1)","('สามารถลบข้อมูลใน list', 0)","('สามารถค้นหาข้อมูลใน list', 0)","('ไม่สามารถทำอะไรได้', 0)",List,Easy
97,เมื่อเรียกใช้ฟังก์ชัน len() กับ list จะได้ค่าอะไรกลับมา?,"('จำนวนสมาชิกใน list', 1)","('ความยาวของ list', 0.75)","('ค่าแรกสุดใน list', 0)","('ค่าสุดท้ายใน list', 0)",List,Easy
98,ถ้าเรามี list ที่ชื่อ fruits และต้องการสร้าง list ใหม่ที่มีชื่อว่า new_fruits โดยใช้เฉพาะผลไม้ที่มีขนาดมากกว่า 5 ตัวอักษร จะสามารถทำได้ด้วยคำสั่งอะไร?,"('new_fruits = [fruit for fruit in fruits if len(fruit) > 5]', 1)","('new_fruits = [fruit for fruit in fruits if len(fruit) < 5]', 0)","('new_fruits = fruits[:5]', 0)","('new_fruits = fruits[5:]', 0)",List,Medium
99,ถ้าเรามี list ที่ชื่อ numbers และต้องการสร้าง list ใหม่ที่มีชื่อว่า even_numbers โดยใช้เฉพาะตัวเลขที่เป็นเลขคู่ จะสามารถทำได้ด้วยคำสั่งอะไร?,"('even_numbers = [num for num in numbers if num % 2 == 0]', 1)","('even_numbers = [num for num in numbers if num % 2!= 0]', 0)","('even_numbers = numbers[:len(numbers)//2]', 0)","('even_numbers = numbers[len(numbers)//2:]', 0)",List,Medium
100,ถ้าเรามี list ที่ชื่อ words และต้องการสร้าง list ใหม่ที่มีชื่อว่า reversed_words โดยใช้คำที่ถูกกลับหลัง จะสามารถทำได้ด้วยคำสั่งอะไร?,"('reversed_words = [word[::-1] for word in words]', 1)","('reversed_words = [word[1:] for word in words]', 0)","('reversed_words = words[:len(words)//2]', 0)","('reversed_words = words[len(words)//2:]', 0)",List,Medium
