,Question,Choice1,Choice2,Choice3,Choice4,Topic,Level
47,การรวม Dictionary สองอันเข้าด้วยกันใช้วิธีการใด?,"('dict.update(other_dict)', 0.75)","('dict + other_dict', 0)","('dict.merge(other_dict)', 0)","('dict.join(other_dict)', 0)",Dictionaries,Medium
48,การค้นหาค่าที่น้อยที่สุดใน Dictionary ใช้วิธีการใด?,"('min(dict.values())', 1)","('dict.min()', 0)","('dict.minimum()', 0)","('dictlowest()', 0)",Dictionaries,Hard
49,วิธีการเพิ่มข้อมูลใน dictionary คือ?,"('append()', 0)","('update()', 0.75)","('insert()', 0.5)","('add()', 0)",Dictionaries,Medium
50,การลบ key-value pair ออกจาก dictionary ของภาษา Python สามารถทำได้โดยใช้ method อะไร?,"('del', 1)","('pop', 0.75)","('clear', 0.5)","('remove', 0)",Dictionaries,Medium
51,การเพิ่ม key-value pair เข้าไปใน dictionary ของภาษา Python สามารถทำได้โดยใช้วิธีใด?,"('โดยใช้ assignment', 1)","('โดยใช้ update', 0.75)","('โดยใช้ setdefault', 0.5)","('ไม่สามารถเพิ่มได้', 0)",Dictionaries,Medium
52,วิธีการเข้าถึง value ที่อยู่ใน dictionary ของภาษา Python คือ?,"('โดยใช้ key', 1)","('โดยใช้ index', 0.25)","('โดยใช้ value', 0.5)","('ไม่สามารถเข้าถึงได้', 0)",Dictionaries,Easy
53,คำสั่งใดใน Python ที่ใช้เพื่อสร้าง Dictionary?,"('dict()', 0.75)","('list()', 0)","('tuple()', 0)","('set()', 0)",Dictionaries,Easy
54,การสร้าง dictionary ในภาษา Python สามารถทำได้โดยการใช้สัญลักษณ์อะไร?,"('()', 0)","('[]', 0.5)","('{}', 1)","('.', 0)",Dictionaries,Easy
55,การค้นหาค่าที่มากที่สุดใน Dictionary ใช้วิธีการใด?,"('max(dict.values())', 1)","('dict.max()', 0)","('dict.maximum()', 0)","('dicthighest()', 0)",Dictionaries,Hard
56,การเข้าถึงค่าใน dictionary สามารถทำได้โดยการใช้สัญลักษณ์อะไร?,"('[]', 1)","('()', 0)","('{}', 0.5)","('.', 0)",Dictionaries,Easy
57,ในการทำ Error Handling ใน Python ควรใช้คำสั่ง try...except อย่างไร?,"('โดยไม่ระบุชนิดของข้อผิดพลาด', 0)","('โดยระบุชนิดของข้อผิดพลาด', 1)","('โดยไม่มีคำสั่ง else', 0.5)","('โดยไม่มีคำสั่ง finally', 0)",ErrorHandling,Hard
58,เมื่อใช้คำสั่ง try...except ใน Python แล้วพบข้อผิดพลาด จะเกิดอะไรขึ้น?,"('โปรแกรมจะหยุดทำงานทันที', 0)","('โปรแกรมจะกระโดดไปที่ส่วนของ except และทำงานต่อ', 1)","('โปรแกรมจะแสดงข้อความแจ้งเตือน', 0.5)","('ไม่มีอะไรเกิดขึ้น', 0)",ErrorHandling,Medium
59,การใช้คำสั่ง try...finally ใน Python มีความสำคัญอย่างไร?,"('เพื่อจัดการกับข้อมูลที่เป็น sensitive data', 0.5)","('เพื่อป้องกันการรั่วไหลของข้อมูล', 0.5)","('เพื่อทำความสะอาดทรัพยากรที่ใช้งาน', 1)","('เพื่อเพิ่มความเร็วในการทำงานของโปรแกรม', 0)",ErrorHandling,Hard
60,ใน Python คำสั่ง assert ถูกใช้เพื่ออะไร?,"('เพื่อตรวจสอบเงื่อนไขที่ต้องการ', 1)","('เพื่อสร้างข้อผิดพลาดใหม่', 0.5)","('เพื่อแสดงข้อความแจ้งเตือน', 0)","('เพื่อทำความสะอาดทรัพยากรที่ใช้งาน', 0)",ErrorHandling,Medium
61,ในภาษา Python การจัดการกับข้อผิดพลาด (ErrorHandling) สามารถทำได้โดยใช้คำสั่งใด?,"('try...except', 1)","('if...else', 0)","('for...loop', 0)","('while...loop', 0)",ErrorHandling,Easy
62,ใน Python คำสั่ง raise ถูกใช้เพื่ออะไร?,"('เพื่อสร้างข้อผิดพลาดใหม่', 1)","('เพื่อจัดการกับข้อผิดพลาดที่เกิดขึ้น', 0.5)","('เพื่อแสดงข้อความแจ้งเตือน', 0)","('เพื่อทำความสะอาดทรัพยากรที่ใช้งาน', 0)",ErrorHandling,Medium
63,ในกรณีที่ต้องการจับข้อผิดพลาดที่เฉพาะเจาะจงใน Python ควรใช้คำสั่งใด?,"('except Exception:', 0.5)","('except ZeroDivisionError:', 1)","('except TypeError:', 0)","('except ValueError:', 0)",ErrorHandling,Medium
64,เมื่อใช้คำสั่ง try...except ใน Python แล้วมีข้อผิดพลาดเกิดขึ้น คำสั่งที่จะถูกเรียกใช้คือ?,"('except', 1)","('finally', 0.5)","('else', 0)","('raise', 0)",ErrorHandling,Medium
65,ใน Python การใช้คำสั่ง try...except...finally มีความสำคัญอย่างไร?,"('เพื่อจัดการกับข้อมูลที่เป็น sensitive data', 0.5)","('เพื่อป้องกันการรั่วไหลของข้อมูล', 0.5)","('เพื่อทำความสะอาดทรัพยากรที่ใช้งานและจัดการกับข้อผิดพลาด', 1)","('เพื่อเพิ่มความเร็วในการทำงานของโปรแกรม', 0)",ErrorHandling,Hard
66,คำสั่ง finally ใน Python ใช้เพื่ออะไร?,"('จัดการกับข้อผิดพลาด', 0.5)","('ทำความสะอาดทรัพยากร', 1)","('เรียกใช้งานฟังก์ชัน', 0)","('วนลูป', 0)",ErrorHandling,Medium
67,คำสั่ง raise ใน Python ใช้เพื่ออะไร?,"('สร้างข้อผิดพลาด', 1)","('จัดการกับข้อผิดพลาด', 0)","('ทำความสะอาดทรัพยากร', 0)","('วนลูป', 0)",ErrorHandling,Medium
68,ในกรณีที่ต้องการจัดการกับข้อผิดพลาดที่ไม่คาดคิด Python มีคำสั่งใดที่สามารถใช้ได้?,"('except Exception:', 1)","('except ZeroDivisionError:', 0)","('except TypeError:', 0)","('except ValueError:', 0)",ErrorHandling,Hard
69,คำสั่ง assert ใน Python ใช้เพื่ออะไร?,"('ตรวจสอบเงื่อนไข', 1)","('จัดการกับข้อผิดพลาด', 0)","('ทำความสะอาดทรัพยากร', 0)","('วนลูป', 0)",ErrorHandling,Medium
70,คำสั่ง else ใน Python ใช้เพื่ออะไร?,"('จัดการกับข้อผิดพลาด', 0)","('ทำความสะอาดทรัพยากร', 0)","('วนลูป', 0)","('ประมวลผลเมื่อไม่มีข้อผิดพลาด', 1)",ErrorHandling,Medium
71,การทำ Error Handling ใน Python สามารถทำได้โดยการใช้คำสั่งใด?,"('try...except', 1)","('if...else', 0)","('while...break', 0)","('for...in', 0)",ErrorHandling,Easy
72,ใน Python การใช้คำสั่ง with statement มีความสำคัญอย่างไร?,"('เพื่อจัดการกับไฟล์และทรัพยากรอื่นๆ', 1)","('เพื่อเพิ่มความเร็วในการทำงานของโปรแกรม', 0)","('เพื่อแสดงข้อความแจ้งเตือน', 0)","('เพื่อทำความสะอาดทรัพยากรที่ใช้งาน', 0.5)",ErrorHandling,Medium
73,ใน Python คำสั่ง except ถูกใช้เพื่อรับมือกับข้อผิดพลาดแบบใด?,"('เฉพาะข้อผิดพลาดที่ระบุ', 1)","('ทุกข้อผิดพลาดที่เกิดขึ้น', 0.5)","('ไม่สามารถรับมือกับข้อผิดพลาด', 0)","('เพื่อแสดงข้อความแจ้งเตือน', 0)",ErrorHandling,Easy
74,ใน Python คำสั่ง traceback module ถูกใช้เพื่ออะไร?,"('เพื่อแสดงข้อความแจ้งเตือน', 0)","('เพื่อทำความสะอาดทรัพยากรที่ใช้งาน', 0)","('เพื่อแสดงข้อมูลเกี่ยวกับข้อผิดพลาดที่เกิดขึ้น', 1)","('เพื่อเพิ่มความเร็วในการทำงานของโปรแกรม', 0)",ErrorHandling,Hard
75,ใน Python การใช้คำสั่ง logging module มีความสำคัญอย่างไร?,"('เพื่อแสดงข้อความแจ้งเตือน', 0.5)","('เพื่อทำความสะอาดทรัพยากรที่ใช้งาน', 0)","('เพื่อบันทึกเหตุการณ์ที่เกิดขึ้นในโปรแกรม', 1)","('เพื่อเพิ่มความเร็วในการทำงานของโปรแกรม', 0)",ErrorHandling,Medium
76,ฟังก์ชันใน Python สามารถรับค่าอะไรได้บ้าง?,"('ค่าที่กำหนด', 0.75)","('ค่าที่ไม่กำหนด', 0)","('ค่าที่เป็นตัวเลข', 0.25)","('ค่าที่เป็นตัวอักษร', 0.5)",Functions,Easy
77,ฟังก์ชันในภาษา Python สามารถรับค่าอะไรได้บ้าง?,"('ค่าที่กำหนด', 0.75)","('ค่าที่ไม่กำหนด', 0)","('ค่าที่เป็นตัวเลข', 0.25)","('ค่าที่เป็นตัวอักษร', 0.5)",Functions,Easy
78,คำสั่งไหนใช้ในการเรียกใช้งานฟังก์ชัน?,"('print()', 0)","('call()', 0)","('function()', 0)","('ฟังก์ชันชื่อ()', 1)",Functions,Easy
79,ฟังก์ชันใน Python สามารถทำอะไรได้บ้าง?,"('คำนวณผลลัพธ์', 0.5)","('จัดการข้อมูล', 0.5)","('แสดงผลลัพธ์', 0)","('ทั้งหมดข้างต้น', 1)",Functions,Medium
80,คำสั่งไหนที่ใช้ในการเรียกใช้งานฟังก์ชันใน Python?,"('print()', 0)","('call()', 0)","('function()', 0)","('()', 0.75)",Functions,Easy
81,ฟังก์ชันใน Python สามารถคืนค่าได้กี่ค่า?,"('1 ค่า', 0.75)","('หลายค่า', 0)","('ไม่สามารถคืนค่าได้', 0)","('ขึ้นอยู่กับฟังก์ชัน', 0.25)",Functions,Medium
82,การสร้างฟังก์ชันใน Python ใช้คำสั่งอะไร?,"('def', 0.75)","('function', 0)","('create', 0)","('make', 0.25)",Functions,Easy
83,ฟังก์ชันใน Python สามารถเรียกใช้งานตัวเองได้หรือไม่?,"('สามารถ', 0.75)","('ไม่สามารถ', 0)","('ขึ้นอยู่กับฟังก์ชัน', 0.25)","('ไม่แน่ใจ', 0)",Functions,Medium
84,การรับค่าที่ผู้ใช้ป้อนเข้ามาในภาษา Python สามารถทำได้ด้วยคำสั่งใดบ้าง?,"('input() และ eval()', 1)","('read() และ parse()', 0.5)","('get() และ decode()', 0.25)","('receive() และ interpret()', 0)",InputandOutput,Easy
85,ถ้าเราต้องการแสดงผลลัพธ์แบบมีการจัดรูปแบบในภาษา Python ควรใช้คำสั่งใด?,"('print(format())', 1)","('display(format())', 0.75)","('println(format())', 0.5)","('write(format())', 0.25)",InputandOutput,Hard
86,การทำงานของคำสั่ง int(input()) ใน Python คืออะไร?,"('รับค่าข้อมูลเป็นตัวเลขจากผู้ใช้', 1)","('พิมพ์ข้อความออกมา', 0)","('ทำการคำนวณ', 0)","('จัดเก็บข้อมูล', 0)",InputandOutput,Hard
87,ถ้าเราต้องการรับค่าที่ผู้ใช้ป้อนเข้ามาในภาษา Python ควรใช้คำสั่งใด?,"('input()', 1)","('read()', 0.5)","('get()', 0.25)","('receive()', 0)",InputandOutput,Easy
88,ถ้าเราต้องการแสดงผลลัพธ์แบบไม่มีการขึ้นบรรทัดใหม่ในภาษา Python ควรใช้คำสั่งใด?,"(""print('Hello, World!', end='')"", 1)","(""print('Hello, World!', newline=False)"", 0.75)","(""println('Hello, World!')"", 0.5)","(""display('Hello, World!')"", 0.25)",InputandOutput,Medium
89,การแสดงผลลัพธ์ในภาษา Python สามารถทำได้ด้วยฟังก์ชันใดบ้าง?,"('print() และ input()', 1)","('display() และ writeln()', 0.5)","('echo() และ readln()', 0.25)","('write() และ show()', 0)",InputandOutput,Medium
90,โค้ด Python ด้านล่างนี้จะพิมพ์อะไรออกมา,"('Hello, World!', 1)","('Python is fun!', 0)","('Error', 0)","('Nothing', 0)",InputandOutput,Easy
91,"โค้ด Python ด้านล่างนี้จะพิมพ์อะไรออกมา
x = 5
y = 3
print(x + y)","('8', 1)","('Error', 0)","('5', 0)","('3', 0)",InputandOutput,Medium
92,การเขียน print() ใน Python ใช้สำหรับอะไร?,"('พิมพ์ข้อความหรือข้อมูลออกมา', 1)","('รับค่าข้อมูลจากผู้ใช้', 0)","('ทำการคำนวณ', 0)","('จัดเก็บข้อมูล', 0)",InputandOutput,Easy
93,"โค้ด Python ด้านล่างนี้จะพิมพ์อะไรออกมา
name = 'John'
print('Hello,'+ name)","('Hello, John', 1)","('Error', 0)","('Hello, ', 0)","('John', 0)",InputandOutput,Medium
94,ใน Python เราสามารถพิมพ์ข้อความหลายบรรทัดได้โดยใช้คำสั่งใด?,"('print()', 0.75)","('input()', 0)","(""print('''text''')"", 0.25)","('print(""""""text"""""")', 1)",InputandOutput,Medium
95,การทำงานของคำสั่ง input() ใน Python คืออะไร?,"('รับค่าข้อมูลจากผู้ใช้', 1)","('พิมพ์ข้อความออกมา', 0)","('ทำการคำนวณ', 0)","('จัดเก็บข้อมูล', 0)",InputandOutput,Medium
96,"โค้ด Python ด้านล่างนี้จะพิมพ์อะไรออกมา
name = input('What is your name? ')
print(name)","('What is your name? ', 0)","('Name not defined', 0)","(""User's input"", 1)","('Error', 0)",InputandOutput,Hard
97,"โค้ด Python ด้านล่างนี้จะพิมพ์อะไรออกมา
num = int(input('Enter a number: '))
print(num + 5)","(""User's input + 5"", 1)","('Error', 0)","('5', 0)","(""User's input"", 0)",InputandOutput,Hard
98,เมื่อเราพิมพ์คำสั่ง print('Hello') ใน Python จะเกิดอะไรขึ้น?,"(""พิมพ์ 'Hello' ออกมา"", 1)","('ไม่มีอะไรเกิดขึ้น', 0)","('Error', 0)","(""พิมพ์ 'hello' ออกมา"", 0)",InputandOutput,Easy
99,การแสดงผลลัพธ์ในภาษา Python สามารถทำได้ด้วยคำสั่งใดบ้าง?,"('print() และ input()', 1)","('display() และ println()', 0.5)","('echo() และ read()', 0.25)","('write() และ show()', 0)",InputandOutput,Easy
100,ถ้าเราต้องการรับค่าที่ผู้ใช้ป้อนเข้ามาและแปลงเป็นตัวเลขในภาษา Python ควรใช้คำสั่งใด?,"('int(input())', 1)","('float(input())', 0.75)","('eval(input())', 0.5)","('parse(input())', 0.25)",InputandOutput,Medium
101,"เมื่อเราพิมพ์คำสั่ง print('Hello, World!') ในภาษา Python ผลลัพธ์ที่ได้จะเป็นอย่างไร?","('Hello, World!', 1)","(""'Hello, World!'"", 0.75)","(""print('Hello, World!')"", 0.25)","('Error', 0)",InputandOutput,Easy
102,ถ้าเราต้องการแสดงผลลัพธ์แบบไม่มีบรรทัดใหม่ในภาษา Python ควรใช้คำสั่งใด?,"(""print('Hello, World!', end='')"", 1)","(""print('Hello, World!', newline=False)"", 0.5)","(""println('Hello, World!')"", 0.25)","(""display('Hello, World!')"", 0)",InputandOutput,Medium
103,"เมื่อคุณใช้ฟังก์ชัน next() กับ iterator ที่ไม่มีค่าใดๆ อีก, จะเกิดอะไรขึ้น?","('จะแสดงค่า None', 0)","(""จะแสดงข้อความ 'No more items'"", 0)","('จะเกิด StopIteration Exception', 1)","('จะวน loop ไปเรื่อยๆ', 0)",IteratorsandGenerators,Medium
104,ประโยชน์ของการใช้ generator แทน list comprehension ในภาษา Python คืออะไร?,"('ช่วยลดการใช้ memory เนื่องจากไม่ต้องสร้าง list ทั้งหมด', 1)","('ช่วยเพิ่มการใช้ memory เนื่องจากต้องสร้าง list ทั้งหมด', 0)","('ช่วยลดเวลาในการประมวลผล', 0.5)","('ไม่มีประโยชน์ใดๆ', 0.25)",IteratorsandGenerators,Hard
105,ความหมายของ StopIteration exception ในภาษา Python คืออะไร?,"('แสดงว่าการวนซ้ำผ่าน iterator หรือ generator นั้นเสร็จสิ้นแล้ว', 1)","('แสดงว่าการวนซ้ำผ่าน iterator หรือ generator ยังไม่เสร็จสิ้น', 0.25)","('แสดงว่าการวนซ้ำผ่าน list หรือ tuple นั้นเสร็จสิ้นแล้ว', 0.5)","('ไม่มีความหมายใดๆ', 0)",IteratorsandGenerators,Medium
