Index,Question,Level,Choice
10,ความสามารถหลักของภาษา Python คืออะไร?,Hard,"[{'text': 'การทำงานกับฐานข้อมูล', 'weight': 0.25}, {'text': 'การสร้างเว็บไซต์', 'weight': 0.5}, {'text': 'การประมวลผลข้อมูลขนาดใหญ่', 'weight': 0.75}, {'text': 'การทำงานกับ AI และ Machine Learning', 'weight': 1}]"
11,การเขียนโปรแกรมภาษา Python จำเป็นต้องมีการระบุประเภทข้อมูล (data type) ของตัวแปรหรือไม่?,Medium,"[{'text': 'จำเป็น', 'weight': 0.25}, {'text': 'ไม่จำเป็น', 'weight': 1}, {'text': 'ขึ้นอยู่กับบริบท', 'weight': 0.5}, {'text': 'ไม่สามารถตอบได้', 'weight': 0.75}]"
12,"ในภาษา Python, การใช้งานฟังก์ชัน (function) สามารถทำได้โดยไม่ต้องระบุประเภทข้อมูลที่จะส่งผ่านไปยังฟังก์ชันได้หรือไม่?",Hard,"[{'text': 'สามารถทำได้', 'weight': 1}, {'text': 'ไม่สามารถทำได้', 'weight': 0.25}, {'text': 'ขึ้นอยู่กับบริบท', 'weight': 0.5}, {'text': 'ไม่สามารถตอบได้', 'weight': 0.75}]"
13,เมื่อทำงานกับไฟล์ในภาษา Python คุณสามารถใช้คำสั่งใดในการเปิดไฟล์เพื่ออ่านข้อมูล?,Hard,"[{'text': 'import file', 'weight': 0.25}, {'text': ""open(file, 'r')"", 'weight': 1}, {'text': 'read(file)', 'weight': 0.5}, {'text': 'file_open(file)', 'weight': 0.75}]"
14,ภาษา Python มีความสามารถในการทำงานกับข้อมูลประเภทใดบ้าง?,Medium,"[{'text': 'ตัวเลขและข้อความ', 'weight': 0.25}, {'text': 'ตัวเลข, ข้อความ, และรายการ', 'weight': 0.75}, {'text': 'ตัวเลข, ข้อความ, รายการ, และโครงสร้างข้อมูลที่ซับซ้อน', 'weight': 1}, {'text': 'เฉพาะตัวเลข', 'weight': 0.5}]"
15,คุณสมบัติของภาษา Python ที่ทำให้มันเหมาะสมสำหรับการพัฒนาแอปพลิเคชันทางวิทยาศาสตร์และการคำนวณคืออะไร?,Hard,"[{'text': 'ความเร็วในการทำงาน', 'weight': 0.25}, {'text': 'ความง่ายในการเขียนโค้ด', 'weight': 0.5}, {'text': 'การสนับสนุนไลบรารีสำหรับการคำนวณทางวิทยาศาสตร์', 'weight': 1}, {'text': 'ความสามารถในการทำงานร่วมกับฐานข้อมูล', 'weight': 0.75}]"
16,การเขียนโปรแกรมภาษา Python สามารถทำงานได้กับระบบปฏิบัติการใดบ้าง?,Medium,"[{'text': 'Windows', 'weight': 0.25}, {'text': 'Linux และ MacOS', 'weight': 0.5}, {'text': 'Windows, Linux และ MacOS', 'weight': 1}, {'text': 'เฉพาะ Windows', 'weight': 0.75}]"
17,ภาษา Python นำมาใช้ในการพัฒนาแอปพลิเคชันประเภทใดบ้าง?,Medium,"[{'text': 'เว็บแอปพลิเคชัน, เกม, และระบบปัญญาประดิษฐ์', 'weight': 1}, {'text': 'มือถือ, เกม, และระบบปัญญาประดิษฐ์', 'weight': 0.75}, {'text': 'เว็บแอปพลิเคชัน, เกม, และระบบปฏิบัติการ', 'weight': 0.5}, {'text': 'เว็บแอปพลิเคชัน, เกม, และฐานข้อมูล', 'weight': 0.25}]"
18,การเขียนโค้ด Python ที่ดีต้องมีคุณสมบัติอะไรบ้าง?,Medium,"[{'text': 'อ่านง่าย', 'weight': 0.25}, {'text': 'แก้ไขได้ง่าย', 'weight': 0.5}, {'text': 'ทำงานได้เร็ว', 'weight': 0.75}, {'text': 'ทั้งหมดข้างต้น', 'weight': 1}]"
19,การสร้างฟังก์ชันใน Python จะต้องมีส่วนประกอบอะไรบ้าง?,Hard,"[{'text': 'ชื่อฟังก์ชัน', 'weight': 0.25}, {'text': 'พารามิเตอร์', 'weight': 0.5}, {'text': 'คำสั่ง return', 'weight': 0.75}, {'text': 'คำสั่ง loop', 'weight': 1}]"
20,Python เป็นภาษาโปรแกรมมิ่งที่ถูกสร้างขึ้นเพื่อใช้งานในด้านใดบ้าง?,Medium,"[{'text': 'เว็บเซอร์วิส, GUI, เกมส์', 'weight': 1}, {'text': 'เครือข่าย, ด้านฐานข้อมูล, เกมส์', 'weight': 0.75}, {'text': 'เว็บเซอร์วิส, ด้านฐานข้อมูล, AI', 'weight': 0.5}, {'text': 'เกมส์, GUI, AI', 'weight': 0.25}]"
21,ความสามารถหลักๆของภาษา Python มีอะไรบ้าง?,Hard,"[{'text': 'การทำงานแบบ Interactive Shell, การเขียนโปรแกรมได้ง่าย, ประสิทธิภาพในการทำงานสูง', 'weight': 1}, {'text': 'การทำงานแบบ Parallel Processing, การเขียนโปรแกรมได้ยาก, ประสิทธิภาพในการทำงานต่ำ', 'weight': 0.25}, {'text': 'การทำงานแบบ Real-time, การเขียนโปรแกรมได้ยาก, ประสิทธิภาพในการทำงานสูง', 'weight': 0.5}, {'text': 'การทำงานแบบ Batch Processing, การเขียนโปรแกรมได้ง่าย, ประสิทธิภาพในการทำงานต่ำ', 'weight': 0.75}]"
22,การทำงานของคำสั่ง print() ในภาษา Python คืออะไร?,Medium,"[{'text': 'ใช้สำหรับการรับข้อมูลจากผู้ใช้', 'weight': 0.25}, {'text': 'ใช้สำหรับการแสดงผลลัพธ์หรือข้อความออกมา', 'weight': 1}, {'text': 'ใช้สำหรับการจัดเก็บข้อมูล', 'weight': 0.5}, {'text': 'ไม่มีการทำงานใดๆ', 'weight': 0}]"
23,เมื่อเรียกใช้งานฟังก์ชัน len() ใน Python ผลที่ได้คืออะไร?,Hard,"[{'text': 'จำนวนสมาชิกใน list', 'weight': 0.75}, {'text': 'จำนวนคู่มือใน dictionary', 'weight': 0}, {'text': 'ความยาวของ string', 'weight': 1}, {'text': 'ผลรวมของค่าทั้งหมดใน set', 'weight': 0.25}]"
24,การเขียนโปรแกรม Python ที่ดีต้องมีคุณสมบัติอะไรบ้าง?,Medium,"[{'text': 'ความสามารถในการทำงานได้รวดเร็ว', 'weight': 0.25}, {'text': 'ความสามารถในการอ่านและเข้าใจได้ง่าย', 'weight': 0.5}, {'text': 'ความสามารถในการแก้ไขข้อผิดพลาดได้โดยไม่กระทบต่อโค้ดทั้งหมด', 'weight': 0.75}, {'text': 'ความสามารถในการทำงานร่วมกับภาษาอื่น ๆ ได้', 'weight': 1}]"
25,เมื่อเรียกใช้งานฟังก์ชันใน Python แล้วเกิดข้อผิดพลาดขึ้น จะทำอย่างไร?,Hard,"[{'text': 'ตรวจสอบโค้ดทั้งหมดเพื่อหาข้อผิดพลาด', 'weight': 0.25}, {'text': 'ตรวจสอบส่วนของโค้ดที่เกี่ยวข้องกับฟังก์ชันที่ถูกเรียกใช้', 'weight': 0.5}, {'text': 'ใช้เครื่องมือเช่น pdb หรือ PyCharm เพื่อทำ debugging', 'weight': 0.75}, {'text': 'ลบรหัสทั้งหมดและเขียนใหม่', 'weight': 1}]"
26,การใช้งานฟังก์ชันในภาษา Python สามารถทำได้โดยการ,Medium,"[{'text': 'ระบุชื่อฟังก์ชันที่ต้องการใช้งาน', 'weight': 0.25}, {'text': 'สร้างฟังก์ชันใหม่ขึ้นมา', 'weight': 0.5}, {'text': 'เรียกใช้งานโมดูลที่มีฟังก์ชันที่ต้องการ', 'weight': 0.75}, {'text': 'ใช้คำสั่ง import เพื่อนำเข้าฟังก์ชัน', 'weight': 1}]"
27,ในการทำงานกับข้อมูลในภาษา Python จะมีการใช้งานโครงสร้างข้อมูลใดบ้าง,Hard,"[{'text': 'List, Tuple, Set', 'weight': 0.25}, {'text': 'List, Tuple, Dictionary', 'weight': 0.5}, {'text': 'List, Dictionary, Set', 'weight': 0.75}, {'text': 'List, Tuple, Dictionary, Set', 'weight': 1}]"
28,การใช้งานภาษาไพธอนมีข้อดีอะไรบ้าง?,Medium,"[{'text': 'สามารถใช้งานได้กับทุกระบบปฏิบัติการ', 'weight': 0.25}, {'text': 'มีความสามารถในการจัดการข้อมูลที่หลากหลาย', 'weight': 0.5}, {'text': 'มีไลบรารี่มาตรฐานที่ครอบคลุม', 'weight': 0.75}, {'text': 'ทั้งหมดข้างต้น', 'weight': 1}]"
29,การเขียนโปรแกรมภาษาไพธอนต้องคำนึงถึงเรื่องอะไรบ้าง?,Hard,"[{'text': 'การจัดการข้อมูล', 'weight': 0.25}, {'text': 'ความปลอดภัยของโค้ด', 'weight': 0.5}, {'text': 'ความเร็วในการประมวลผล', 'weight': 0.75}, {'text': 'ความง่ายในการอ่านและแก้ไข', 'weight': 1}]"
30,การตั้งชื่อแปรในภาษา Python ควรดำเนินการอย่างไร?,Medium,"[{'text': 'ไม่ควรมีอักษรไทย', 'weight': 0.25}, {'text': 'ต้องมีตัวอักษรตัวแรกเป็นตัวพิมพ์ใหญ่', 'weight': 0}, {'text': 'ไม่ควรใช้ตัวอักษรหรือตัวเลข', 'weight': 0}, {'text': 'สามารถใช้ตัวอักษร ตัวเลข และเครื่องหมายขีดล่าง (_) ได้ แต่ไม่สามารถเริ่มต้นด้วยตัวเลข', 'weight': 1}]"
31,การทำงานของภาษา Python เป็นแบบใด?,Hard,"[{'text': 'Compiled', 'weight': 0.75}, {'text': 'Interpreted', 'weight': 1}, {'text': 'Hybrid', 'weight': 0.5}, {'text': 'Machine Code', 'weight': 0.25}]"
32,ฟังก์ชันใดที่ใช้เพื่อแสดงผลลัพธ์ในภาษา Python?,Medium,"[{'text': 'print()', 'weight': 1}, {'text': 'display()', 'weight': 0.25}, {'text': 'show()', 'weight': 0.25}, {'text': 'console.log()', 'weight': 0}]"
33,ตัวแปรในภาษา Python สามารถเก็บข้อมูลได้กี่ประเภท?,Hard,"[{'text': '3 ประเภท', 'weight': 0}, {'text': '4 ประเภท', 'weight': 0}, {'text': '6 ประเภท', 'weight': 1}, {'text': '8 ประเภท', 'weight': 0.25}]"
34,ภาษาไพธอนสามารถทำงานได้กับโครงสร้างข้อมูลแบบใดบ้าง?,Medium,"[{'text': 'List และ Tuple', 'weight': 0.25}, {'text': 'Dictionary และ Set', 'weight': 0.5}, {'text': 'List, Tuple, Dictionary, และ Set', 'weight': 1}, {'text': 'Array และ Matrix', 'weight': 0}]"
35,การจัดการความซับซ้อนของโค้ดในภาษาไพธอนสามารถทำได้โดยการใช้?,Hard,"[{'text': 'Function', 'weight': 0.5}, {'text': 'Module', 'weight': 0.75}, {'text': 'Class', 'weight': 1}, {'text': 'Library', 'weight': 0.25}]"
36,โค้ดต่อไปนี้จะพิมพ์ผลลัพธ์เป็นอะไร?,Intermediate,"[{'text': 'Hello, World!', 'weight': 0}, {'text': 'Hello', 'weight': 0.5}, {'text': 'Hello, ', 'weight': 0.25}, {'text': 'Hello, World', 'weight': 1}]"
37,ฟังก์ชันใดใน Python ที่ใช้สำหรับการแปลงข้อความเป็นตัวพิมพ์ใหญ่?,Intermediate,"[{'text': 'lower()', 'weight': 0}, {'text': 'title()', 'weight': 0.5}, {'text': 'swapcase()', 'weight': 0.25}, {'text': 'upper()', 'weight': 1}]"
38,วิธีการใดที่ถูกต้องในการสร้าง dictionary ใน Python?,Intermediate,"[{'text': ""my_dict = {'name': 'John', 'age': 30}"", 'weight': 1}, {'text': ""my_dict = ('name': 'John', 'age': 30)"", 'weight': 0}, {'text': ""my_dict = dict('name': 'John', 'age': 30)"", 'weight': 0.25}, {'text': ""my_dict = list('name': 'John', 'age': 30)"", 'weight': 0}]"
39,การทำงานของ loop for ใน Python คืออะไร?,Intermediate,"[{'text': 'วนซ้ำๆกับจำนวนครั้งที่กำหนด', 'weight': 1}, {'text': 'วนซ้ำๆจนกว่าเงื่อนไขจะเป็น false', 'weight': 0.5}, {'text': 'วนซ้ำๆผ่าน element ของ list', 'weight': 0.25}, {'text': 'วนซ้ำๆผ่าน index ของ list', 'weight': 0}]"
40,การเขียนโค้ด Python ด้านล่างนี้จะทำอะไร?,Intermediate,"[{'text': 'เรียงลำดับ list จากน้อยไปมาก', 'weight': 0}, {'text': 'คัดลอก list ใหม่', 'weight': 0.25}, {'text': 'แก้ไข list เดิม', 'weight': 1}, {'text': 'ลบ element ที่ไม่ต้องการ', 'weight': 0}]"
41,ฟังก์ชันใดใน Python ใช้สำหรับการเปิดไฟล์?,Intermediate,"[{'text': 'file()', 'weight': 0}, {'text': 'open()', 'weight': 1}, {'text': 'read()', 'weight': 0.25}, {'text': 'write()', 'weight': 0}]"
42,วิธีการใดสามารถใช้เพื่อตรวจสอบว่ามี key ใน dictionary หรือไม่?,Intermediate,"[{'text': 'if key in dict:', 'weight': 1}, {'text': 'dict.has_key(key)', 'weight': 0.5}, {'text': 'dict[key]!= None', 'weight': 0.25}, {'text': 'key == dict.keys()', 'weight': 0}]"
43,การทำงานของโค้ด Python ด้านล่างนี้คืออะไร?,Intermediate,"[{'text': 'การวน loop ไม่รู้จบ', 'weight': 0.25}, {'text': 'การวน loop 10 รอบ', 'weight': 0}, {'text': 'การวน loop 5 รอบ', 'weight': 1}, {'text': 'การวน loop 15 รอบ', 'weight': 0}]"
44,คำสั่งใดใน Python ใช้สำหรับการ import module ทั้งหมด?,Intermediate,"[{'text': 'import *', 'weight': 1}, {'text': 'from module import *', 'weight': 0.75}, {'text': 'import all', 'weight': 0}, {'text': 'load module', 'weight': 0}]"
45,โค้ดต่อไปนี้จะพิมพ์อะไรออกมา?,Intermediate,"[{'text': ""'Hello', 'World'"", 'weight': 0}, {'text': ""'Hello World'"", 'weight': 1}, {'text': ""('Hello', 'World')"", 'weight': 0.5}, {'text': 'Error', 'weight': 0}]"
46,การทำงานของฟังก์ชัน lambda ใน Python คืออะไร?,Intermediate,"[{'text': 'สร้างฟังก์ชันที่ไม่มีชื่อ', 'weight': 1}, {'text': 'สร้างคลาสใหม่', 'weight': 0}, {'text': 'เรียกใช้ฟังก์ชันที่มีอยู่แล้ว', 'weight': 0}, {'text': 'สร้าง module ใหม่', 'weight': 0}]"
47,ความแตกต่างระหว่าง list กับ tuple ใน Python คืออะไร?,Intermediate,"[{'text': 'list เป็น Immutable แต่ tuple เป็น Mutable', 'weight': 0}, {'text': 'tuple เป็น Immutable แต่ list เป็น Mutable', 'weight': 1}, {'text': 'list และ tuple ทั้งคู่เป็น Immutable', 'weight': 0}, {'text': 'list และ tuple ทั้งคู่เป็น Mutable', 'weight': 0}]"
48,วิธีการที่ถูกต้องในการเขียน exception handling ใน Python คืออะไร?,Intermediate,"[{'text': 'try - catch', 'weight': 0}, {'text': 'try - except', 'weight': 1}, {'text': 'error - catch', 'weight': 0}, {'text': 'exception - handle', 'weight': 0}]"
49,การทำงานของ keyword'self' ใน Python คืออะไร?,Intermediate,"[{'text': 'อ้างอิงถึง object ที่กำลังสร้าง', 'weight': 1}, {'text': 'อ้างอิงถึง class ที่กำลังสร้าง', 'weight': 0}, {'text': 'อ้างอิงถึง function ที่กำลังสร้าง', 'weight': 0}, {'text': 'ไม่ใช่ keyword ใน Python', 'weight': 0}]"
50,การทำงานของฟังก์ชัน map() ในภาษา Python คืออะไร?,Intermediate,"[{'text': 'ใช้สำหรับการเรียงลำดับข้อมูล', 'weight': 0}, {'text': 'ใช้สำหรับการแปลงข้อมูล', 'weight': 0.25}, {'text': 'ใช้สำหรับการกรองข้อมูล', 'weight': 0.5}, {'text': 'ใช้สำหรับการประมวลผลข้อมูลแบบหลายๆ ครั้ง', 'weight': 1}]"
51,วิธีการเข้าถึงสมาชิกในคลาส Python คืออะไร?,Intermediate,"[{'text': ""ใช้สัญลักษณ์ '.' เพื่อเข้าถึงสมาชิก"", 'weight': 1}, {'text': ""ใช้สัญลักษณ์ '->' เพื่อเข้าถึงสมาชิก"", 'weight': 0}, {'text': ""ใช้สัญลักษณ์ '::' เพื่อเข้าถึงสมาชิก"", 'weight': 0}, {'text': 'ไม่สามารถเข้าถึงสมาชิกในคลาส Python ได้', 'weight': 0}]"
52,การใช้งาน keyword 'yield' ในฟังก์ชัน Python มีผลต่อการทำงานอย่างไร?,Intermediate,"[{'text': 'ทำให้ฟังก์ชันเป็น generator function', 'weight': 1}, {'text': 'ทำให้ฟังก์ชันเป็น asynchronous function', 'weight': 0}, {'text': 'ไม่มีผลต่อการทำงานของฟังก์ชัน', 'weight': 0}, {'text': 'ทำให้ฟังก์ชันทำงานช้าลง', 'weight': 0}]"
53,วิธีการสร้าง dictionary comprehension ใน Python คืออะไร?,Intermediate,"[{'text': '{key: value for key, value in iterable}', 'weight': 1}, {'text': '[key: value for key, value in iterable]', 'weight': 0}, {'text': '(key: value for key, value in iterable)', 'weight': 0}, {'text': 'ไม่สามารถสร้าง dictionary comprehension ได้', 'weight': 0}]"
54,การทำงานของฟังก์ชัน map ใน Python คืออะไร?,Intermediate,"[{'text': 'แปลงค่าในลิสต์เป็น string', 'weight': 0}, {'text': 'นำค่าในลิสต์มาทำการคำนวณตามฟังก์ชันที่กำหนด', 'weight': 1}, {'text': 'จัดการกับ exception ที่เกิดขึ้นในโค้ด', 'weight': 0}, {'text': 'ใช้สำหรับการสร้าง object ของ class', 'weight': 0}]"
55,การทำงานของฟังก์ชัน filter ใน Python คืออะไร?,Intermediate,"[{'text': 'ใช้สำหรับการแปลงข้อมูล', 'weight': 0}, {'text': 'ใช้สำหรับการคัดกรองข้อมูลตามเงื่อนไขที่กำหนด', 'weight': 1}, {'text': 'ใช้สำหรับการเรียงลำดับข้อมูล', 'weight': 0}, {'text': 'ใช้สำหรับการรวมผลรวมของข้อมูล', 'weight': 0}]"
56,คุณสมบัติของ Decorator ใน Python คืออะไร?,Intermediate,"[{'text': 'ใช้สำหรับการเขียนฟังก์ชันที่มีการวนซ้ำ', 'weight': 0}, {'text': 'ใช้สำหรับการเพิ่มความสามารถให้กับฟังก์ชันที่มีอยู่แล้ว', 'weight': 1}, {'text': 'ใช้สำหรับการจัดการกับ exception', 'weight': 0}, {'text': 'ใช้สำหรับการสร้าง class', 'weight': 0}]"
57,การทำงานของฟังก์ชัน zip ใน Python คืออะไร?,Intermediate,"[{'text': 'ใช้สำหรับการแปลงข้อมูลเป็น dictionary', 'weight': 0}, {'text': 'ใช้สำหรับการรวมข้อมูลจากหลายๆ ลิสต์', 'weight': 1}, {'text': 'ใช้สำหรับการคัดกรองข้อมูล', 'weight': 0}, {'text': 'ใช้สำหรับการเรียงลำดับข้อมูล', 'weight': 0}]"
58,คุณสมบัติของ Context Manager ใน Python คืออะไร?,Intermediate,"[{'text': 'ใช้สำหรับการจัดการทรัพยากร เช่น การเปิดไฟล์', 'weight': 1}, {'text': 'ใช้สำหรับการแปลงข้อมูล', 'weight': 0}, {'text': 'ใช้สำหรับการคัดกรองข้อมูล', 'weight': 0}, {'text': 'ใช้สำหรับการเรียงลำดับข้อมูล', 'weight': 0}]"
59,โค้ด Python ต่อไปนี้จะทำอะไร,Intermediate,"[{'text': 'สร้าง list ที่มีค่าเดียวกันทั้งหมด', 'weight': 0}, {'text': 'สร้าง list ที่มีค่าเพิ่มขึ้นทีละ 1', 'weight': 0.25}, {'text': 'สร้าง list ที่มีค่าลดลงเรื่อยๆ', 'weight': 0.5}, {'text': 'สร้าง list ที่มีค่า 0-9', 'weight': 1}]"
60,ฟังก์ชันใดใน Python ที่ใช้สำหรับการแปลง string เป็นเลขฐานสอง,Intermediate,"[{'text': 'bin()', 'weight': 1}, {'text': 'int()', 'weight': 0.25}, {'text': 'str()', 'weight': 0}, {'text': 'float()', 'weight': 0}]"
61,วิธีการใดที่ถูกต้องในการเข้าถึงสมาชิกของ dictionary ใน Python,Intermediate,"[{'text': 'ใช้ dot notation', 'weight': 0.5}, {'text': 'ใช้ square bracket notation', 'weight': 1}, {'text': 'ใช้ curly bracket notation', 'weight': 0}, {'text': 'ไม่สามารถเข้าถึงสมาชิกของ dictionary ได้', 'weight': 0}]"
62,การทำงานของโค้ด Python ต่อไปนี้คืออะไร,Intermediate,"[{'text': 'เป็นการสร้าง function ที่ไม่มีการ return ค่า', 'weight': 0}, {'text': 'เป็นการสร้าง function ที่ return ค่าเป็น None', 'weight': 1}, {'text': 'เป็นการสร้าง function ที่ return ค่าเป็น 0', 'weight': 0}, {'text': ""เป็นการสร้าง function ที่ return ค่าเป็น 'None'"", 'weight': 0.25}]"
63,คุณสามารถเข้าถึง element ภายใน list โดยการใช้ index ที่เป็นเลขลบได้หรือไม่?,Intermediate,"[{'text': 'ไม่สามารถ', 'weight': 0}, {'text': 'สามารถ แต่เพียง index -1', 'weight': 0.5}, {'text': 'สามารถ เข้าถึง element จากท้าย list', 'weight': 1}, {'text': 'ขึ้นอยู่กับขนาดของ list', 'weight': 0}]"
64,วิธีการทำงานของ keyword 'yield' ใน Python คืออะไร?,Intermediate,"[{'text': 'ใช้สำหรับการสร้าง iterator', 'weight': 1}, {'text': 'ใช้สำหรับการสร้าง generator', 'weight': 0.75}, {'text': 'ใช้สำหรับการสร้าง decorator', 'weight': 0}, {'text': 'ไม่มีผลกระทบต่อโค้ด', 'weight': 0}]"
65,ความแตกต่างระหว่าง 'break' และ 'continue' ใน Python คืออะไร?,Intermediate,"[{'text': ""'break' จะหยุด loop ทันที ส่วน 'continue' จะข้าม iteration ปัจจุบัน"", 'weight': 1}, {'text': ""'continue' จะหยุด loop ทันที ส่วน 'break' จะข้าม iteration ปัจจุบัน"", 'weight': 0}, {'text': 'ทั้งสองคำสั่งมีความหมายเดียวกัน', 'weight': 0}, {'text': 'ไม่มีความแตกต่าง', 'weight': 0}]"
66,วิธีการทำงานของ 'zip' function ใน Python คืออะไร?,Intermediate,"[{'text': 'ใช้สำหรับการรวม list หลายๆ อัน', 'weight': 1}, {'text': 'ใช้สำหรับการแปลง list เป็น tuple', 'weight': 0}, {'text': 'ใช้สำหรับการคัดลอก element จาก list', 'weight': 0}, {'text': 'ไม่มีผลกระทบต่อ list', 'weight': 0}]"
67,โค้ดต่อไปนี้จะทำอะไร?,Intermediate,"[{'text': 'สร้างลิสต์ของตัวเลขที่เพิ่มขึ้น', 'weight': 0}, {'text': 'สร้างลิสต์ของตัวเลขที่ลดลง', 'weight': 0.25}, {'text': 'สร้างลิสต์ของตัวเลขที่เพิ่มขึ้นแบบคูณสอง', 'weight': 0.75}, {'text': 'สร้างลิสต์ของตัวเลขที่เพิ่มขึ้นแบบคูณสองเริ่มต้นที่ 1', 'weight': 1}]"
68,ฟังก์ชัน `map()` ใน Python ทำอะไร?,Intermediate,"[{'text': 'ใช้แปลงข้อมูลจากหนึ่งรูปแบบเป็นอีกรูปแบบ', 'weight': 0.5}, {'text': 'ใช้กรองข้อมูลตามเงื่อนไขที่กำหนด', 'weight': 0}, {'text': 'ใช้ทำการประมวลผลข้อมูลทั้งหมดในลิสต์', 'weight': 0.25}, {'text': 'ใช้ทำการแปลงข้อมูลทั้งหมดในลิสต์ตามฟังก์ชันที่กำหนด', 'weight': 1}]"
69,วัตถุประสงค์ของการใช้ `try-except` ใน Python คืออะไร?,Intermediate,"[{'text': 'เพื่อเพิ่มความเร็วในการทำงานของโปรแกรม', 'weight': 0}, {'text': 'เพื่อลดขนาดของโค้ด', 'weight': 0}, {'text': 'เพื่อจัดการกับข้อผิดพลาดที่อาจเกิดขึ้น', 'weight': 1}, {'text': 'เพื่อเพิ่มความปลอดภัยของโปรแกรม', 'weight': 0.25}]"
